candidate_name, party, office_sought, %_votes
James Averhart, D, Alabama 1,35.50%
Phyllis Harvey-Hall, D, Alabama 2,34.70%
Adia Winfrey, D, Alabama 3,32.50%
Terri Sewell, D, Alabama 7,97.20%
William Hanson, D, Arkansas 4,27.50%
Joyce Elliott, D, Arkansas 2,44.60%
Tamika Hamilton, R, California 3,45.30%
Barbara Lee, D, California 13,90.40%
Ronda Baldwin-Kennedy, R, California 26,39.40%
Karen Bass, D, California 37,85.90%
Errol Webber, R, California 37,14.10%
Joe Collins III, R, California 43,28.30%
Maxine Waters, D, California 43,71.70%
Joe Neguse, D, Colorado 2,61.50%
Casper Stockham, R, Colorado 7,37.60%
Jahana Hayes, D, Connecticut 5,55.10%
Lisa Blunt Rochester, D, Delaware,57.60%
Al Lawson, D, Florida 5,65.10%
Val Demings, D, Florida 10,63.60%
Vienna Francois, R, Florida 10,36.40%
Kimberly Walker, D, Florida 12,37.10%
Allen Ellison, D, Florida 17,34.10%
Pam Keith, D, Florida 18,41.50%
Byron Donalds, R, Florida 19,61.30%
Alcee Hastings, D, Florida 20,78.70%
Carla Spalding, R, Florida 23,41.80%
Lavern Spicer, R, Florida 24,20.40%
Frederica Wilson, D, Florida 24,75.60%
Joyce Griggs, D, Georgia 1,41.70%
Sanford Bishop, D, Georgia 2,59.10%
Val Almonord, D, Georgia 3,35.00%
Hank Johnson, D, Georgia 4,80.10%
Nikema Williams, D, Georgia 5,85.10%
Angela Stanton-King, R, Georgia 5,14.90%
Lucy McBath, D, Georgia 6,54.60%
Devin Pandy, D, Georgia 9,21.40%
Tabitha Johnson-Green, D, Georgia 10,37.70%
Liz Johnson, D, Georgia 12,41.60%
David Scott, D, Georgia 13,77.40%
Bobby Rush, D, Illinois 1,73.80%
Philanise White, R, Illinois 1,26.20%
Robin kelly, D, Illinois 2,78.80%
Danny Davis, D, Illinois 7,80.40%
Lauren Underwood, D, Illinois 14,50.70%
Erika Weaver, D, Illinois 15,26.50%
Jeannine Lee Lake, D, Indiana 6,27.80%
Andre Carson, D, Indiana 7,62.40%
Cedric Richmond, D, Louisiana 2,63.60%
Braylon Harris, D, Louisiana 3,17.90%
Kenny Houston, D, Louisiana 4,25.50%
Dartanyon Williams, D, Louisiana 6,25.50%
Anthony Brown, D, Maryland 4,79.60%
Kweisi Mfume, D, Maryland 7,71.60%
Kimberly Klacik, R, Maryland 7,28.00%
Ayanna Pressley, D, Massachusetts 7,86.60%
Brenda Lawrence, D, Michigan 14,79.30%
Kenall Qualls, R, Minnesota 3,44.30%
Lacy Johnson, R, Minnesota 5,25.80%
Bennie Thompson, D, Mississippi 2,66.00%
Dot Benford, D, Mississippi 3,35.30%
Cori Bush, D, Missouri 1,78.80%
Emanuel Cleaver, D, Missouri 5,58.80%
Gena L. Ross, D, Missouri 6,30.80%
Steven Horsford, D, Nevada 4,50.70%
Christian Onuoha, R, New Jersey 6,38.80%
Billy Prempeh, R, New Jersey 9,31.90%
Donald Payne Jr., D, New Jersey 10,83.30%
Bonnie Watson Coleman, D, New Jersey 12,65.60%
Jackie Gordon, D, New York 2,46.00%
Gregory Meeks, D, New York 5,100%
Hakeem Jeffries, D, New York 8,84.80%
Constantine Jean-Pierre, R, New York 9,15.90%
Yvette Clarke, D, New York 9,83.10%
Ritchie Torres, D, New York 15,88.90%
Patrick Delices, R, New York 15,11.10%
Jamaal Bowman, D, New York 16,84.20%
Mondaire Jones, D, New York 17,59.30%
Kyle Van De Water, R, New York 19,43.20%
Daryl Farrow, D, North Carolina 3,36.60%
Patricia Timmons-Goodson, D, North Carolina 8,46.70%
