,from_name,from_address,subject,body_text,name,office_sought,party_affiliation,office_level,district_type,final_website,crawl_date,source,state,type,subtype,date,hour,day,uid_email,uid_inbox,incumbent
0,Team Tedra,info@tedracobb.com,Goal Update,"Hi Alex,
Earlier today we told you about our latest ad about Elise Stefanik’s shady donors, and how we need $10,000 before midnight to make sure Northern New Yorkers know the TRUTH about who is funding her campaign.
We’re excited to report that we’re only $3,154 away from reaching our goal!
Help us hit our $10,000 goal. Contribute before midnight. →
CHIP IN!
We know that if we can expose the truth about who Elise really is, we can defeat her in November. But that can’t happen without your contributions.
Thanks,
Team Tedra
* * *
Paid for by the Committee to Elect Tedra Cobb
Tedra Cobb for Congress
PO Box 713
Canton, NY 13617
United States
Tedra Cobb is running for Congress to unseat Elise Stefanik.
DONATE TO STOP STEFANIK »
If you believe you received this message in error or wish to no longer receive email from us, please unsubscribe
This message was sent to [[EMAIL_REDACTED]]",Tedra Cobb,U.S. House New York District 21,Democratic Party,Federal,Congress,https://www.tedracobb.com/,12-02-2019,ballotpedia-campaign,,,,2020-02-20,19,Thu,2732d2901c26ca37330a9943edca99eb,6b4a7c58d36ae832871f2d9aed1fdeea,No
1,Press @ Lulu HQ,info@lulufortexas.com,🗞️  Extra Extra 🗞️,"Did you see the brand new story about Lulu and this historic campaign in the Texas Observer? In case you missed it, the big takeaway is that this formerly ruby-red district isn’t a Republican stronghold anymore -- and Lulu is the candidate who can flip it blue.
Pundits, pollsters and our opponent are seeing our momentum and grassroots power, and they know that Lulu has the vision, the drive, and the passion to flip this seat and bring real representation to Collin County.
But if we want to win, we can’t take our foot off the gas for a single second. With just 17 days left until Election Day, can you rush a contribution right now to help power this historic campaign to victory?
Journalists here in Texas and across the country are starting to realize what we’ve known all along: TX-03 is a flippable district, and if we work hard enough we can flip it blue. Check out what the new story in the Observer said:
If you've saved your payment information with ActBlue Express, your donation will process immediately by clicking a button below. Otherwise, you will be redirected to a donation page.
$5 $25
$50 $100
$250 Other
We can do this, team. Can you make a contribution right now to help us build on all of this momentum and work, and power us to victory in the final 17 days of this campaign?
Thanks for all you do,
Lulu HQ
* * *
This message was sent to [[EMAIL_REDACTED]] because Lulu is relying on her grassroots-powered movement to flip TX-03 from red to blue!
Lulu Seikaly is a first-generation American who is running to make healthcare more affordable, fix Washington's broken political system, and fight the normalization of hate. She would be Texas' first Arab-American Congresswoman, and the first woman to represent Texas' Third Congressional district.
CHIP IN TODAY
You are an important part of our movement! But if you believe you received this message in error or wish to no longer receive email from us, please unsubscribe
Paid for by Lulu for Texas
Lulu for Texas
1900 Preston Rd
#267-PMB 90
Plano, TX 75093
United States",Sri Preston Kulkarni,U.S. House Texas District 22,Democratic Party,Federal,Congress,https://sri2020.com/,12-02-2019,ballotpedia-campaign,,,,2020-10-17,11,Sat,6df2ae09e4e0052b0dd9863326929537,ebc4611895bfffef811e4ebc1dffda65,No
2,Mark Takano,info@marktakano.com,taking nothing for granted,"Happy Holidays –
By now you’ve heard that National GOP operatives are celebrating the fact that they have raised record numbers for their warchest going into 2020.
This is serious. The last Federal Election Commission deadline of this year is midnight December 31. We need to fill our budget gap so that this critical public report shows our strength. Help us reach the $12,976 we have left to raise before the ball drops:
If you saved your payment information with ActBlue Express clicking a button below will cause your donation to process instantly.
$3 $10 $25
$50 $100 Other
The pollsters, pundits, and national Republicans will scour these reports to find spots of weakness, especially after we voted to hold the President accountable.
We have to show our strength in our numbers. Chip in $5 now.
The GOP has made their mission clear: raise unparalleled amounts of money and throw everything at the wall in an all-out attempt to win back Congress.
They know they can’t win based on substance – House Democrats have passed nearly 400 bills while Mitch McConnell boasts a “legislative graveyard” – so they hope to outspend us with misleading and record-distorting ads.
That’s why we need your help before we go into the Election Year. Chip in $5 to make sure we can fight back.
[[URL REDACTED]]
Thanks for all you do – and happy holidays!
Mark
CONTRIBUTE NOW
Since 2013, Mark Takano has represented the people of the Inland Empire in the United States House of Representatives, fighting for the region’s progressive priorities. He’s been a voice for veterans, seniors, students, local businesses and hardworking families. The Democratic Congressional majority will be critical to holding Trump accountable and advancing Democratic progress. Mark will do everything he can to support that effort. Please contribute to California's 41st Congressional District here.
Paid for Mark Takano for Congress
Click here to unsubscribe from the Mark Takano's email list.",Mark Takano,U.S. House California District 41,Democratic Party,Federal,Congress,marktakano.com,12-02-2019,ballotpedia-campaign,,,,2019-12-27,20,Fri,9a125bab91f8a00ea751cf96cd7c4366,fa38d82dd5c110760190f657aa82ebcb,Yes
3,Newt Gingrich,contact@victory.donaldtrump.com,We’ve got to fight back,"It’s Patriots vs. the Left-Wing MOB.
Trump Pence Keep America Great
YOUR 500%-MATCH EXTENSION EXPIRES IN:
Deadline Extended
Alex,
I need to talk to you right away.
The Fake News media is relentlessly trying to smear President Trump and push a radical Left-Wing agenda, and we noticed you have not contributed to our End-of-Month Goal.
MAY END-OF-MONTH DONOR FILE
SUPPORTER: Alex Brown
END-OF-MONTH DONATION: $0
500%-MATCH OFFER: NOT USED
Don’t let President Trump think he’s lost your support. He has EXTENDED your PERSONAL 500%-MATCH DEADLINE FOR 1 MORE HOUR.
This is your last chance, Alex. After this hour, your 500%-Match offer will PERMANENTLY EXPIRE.
Please contribute ANY AMOUNT in the NEXT HOUR and your gift will automatically be 500%-MATCHED. >>
Deadline Extended
Deadliner Extended
All Gifts 500% Matched
CONTRIBUTE $20 = $120
CONTRIBUTE $15 = $90
CONTRIBUTE $10 = $60
CONTRIBUTE $5 = $30
CONTRIBUTE ANY AMOUNT
I know better than most that when the corrupt Left-Wing MOB comes after you, you’ve got to fight back. President Trump is going to battle with them every day, but he can’t do it alone.
President Trump will review the list of 500%-Match Donors soon, and I want him to know that you stepped up.
Please contribute ANY AMOUNT NOW to get on the list and your gift will 500%-MATCHED.
Thank you,
Newt Gingrich Signature Headshot
Newt Gingrich
CONTRIBUTE $5 = $30
Contributions to the Trump Make America Great Again Committee are not deductible for federal income tax purposes.
Paid for by Trump Make America Great Again Committee, a joint fundraising committee authorized by and composed of Donald J. Trump for President, Inc. and the Republican National Committee.
You are receiving this email at [[EMAIL_REDACTED]]
Trump Make America Great Again Committee, 138 Conant Street, 2nd Floor, Beverly, MA 01915
We believe this is an important way to reach our grassroots supporters with the most up-to-date information regarding the efforts of the Trump Make America Great Again Committee and President Trump, and we’re glad you’re on our team. It’s because of grassroots supporters like you that we will Make America Great Again, and we appreciate your support. Thank you for all that you do!
Privacy Policy | Unsubscribe",Donald Trump,President of the United States,Republican Party,Federal,Country,www.donaldjtrump.com,12-02-2019,ballotpedia-campaign,,,,2020-06-03,14,Wed,b78cda519585922197d5aab4cb966503,06ee274baa8011acdd4ba65f36c0f3e8,Yes
4,Team Scholten,info@scholten4iowa.com,"Alex, if you're able, could you chip in before our deadline?","The number one priority during this time is to make sure everyone helps mitigate the spread of COVID-19 in Iowa and across the country. Our campaign is doing our part by canceling all in-person events, moving to a digital operation, and supporting local efforts to help those in need. Emails like this are a critical part of our ability to run a strong campaign that can win.
Alex,
Being a leader means more than having a title or an elected office. It means showing up when it matters most. It’s speaking truth to power, providing hope in times of fear, and bringing people from all walks of life together.
J.D. Scholten has already proven that he can be that leader for Iowa’s 4th district. He has moved our campaign online to protect the health of our staff, volunteers, and voters. We’ve already held a virtual town hall to share resources, and we’re doing our best to provide helpful and accurate information, bring more people into this campaign, and engage with voters every day.
Meanwhile, Steve King posts memes online that make light of this pandemic and votes against life-saving legislation that would provide free coronavirus testing, paid sick leave, and more.
We need to elect J.D., a leader who will Stand Tall for All. To do that, we need to stay on track and meet our goals. We know that this is an incredibly difficult time for folks in Iowa and across the country, but if you’re able, can you chip in $5 before our end-of-quarter fundraising deadline?
DONATE
We have no idea what the next few months will bring -- but we need to be ready for anything. That means having the funds to keep in touch with Iowans and making sure J.D. can continue hosting virtual town halls and other online events.
We can’t trust Steve King to keep us informed, and we certainly can’t trust him to protect our families.
It’s never been more clear that we need a change in leadership.
There is so much at stake. If you can, we’d be so grateful for a donation to make sure we close out the quarter with the resources we need to keep fighting.
Thank you,
Team Scholten
Donate
This email was sent to: [[EMAIL_REDACTED]]. Have questions, concerns, or ideas? Simply reply to this email — we love hearing from supporters! You can also connect with the campaign on social media: Like us on Facebook or follow the campaign on Twitter. Email is one of the most important ways we stay in touch with supporters like you, so we'd hate to see you go; but if you need to do so, click here to unsubscribe from Scholten4Iowa emails.
Contributions or gifts to Scholten4Iowa are not tax deductible
Paid for by Scholten4Iowa Campaign Committee
Scholten4Iowa
P.O. Box 3531
Sioux City, IA 51102",J.D. Scholten,U.S. House Iowa District 4,Democratic Party,Federal,Congress,www.scholten4iowa.com,12-02-2019,ballotpedia-campaign,,,,2020-03-30,16,Mon,34ef30c2123dce5be5bd72095e4dd7bf,91eed19a90b05f4ba0798ce0733d010c,No
5,Harley Rouda,campaign@harleyforcongress.com,Have you heard of PFAS?,"There are harmful chemicals, called PFAS, found in everyday household items that could cause health issues ranging from cancer to infertility to impaired child development.
And, while our communities are breathing in harmful toxins and drinking polluted water, Trump is doing absolutely nothing to protect us.
That is terrifying, which is why I'm doing everything I can to make sure that we regulate these chemicals, clean up contamination, and protect public health. Will you join me?
I introduced a bill to hold PFAS polluters accountable for their role in contaminating our water, air, and environment with these detrimental chemicals. And I also helped pass the PFAS Action Act of 2019.
But we can't make any difference on ridding PFAS without action from the Senate. Will you join me in calling on the Senate to take immediate action on PFAS?
Thank you!
\-- Harley
Harley Rouda serves California's 48th district in Congress. In 2018, Harley defeated the 15-term incumbent Dana Rohrabacher in the very first political campaign of Harley's life. During his time in Congress, he's embraced common sense and values to tackle climate change, address deteriorating infrastructure, confront homelessness, and protect Social Security and Medicare. In 2020, Harley will be facing one of the toughest re-election fights in the entire country, so he's depending on the support of grassroots individuals. If you want to support Harley's re-election, you can donate here. If you'd like to no longer receive emails from his campaign, you can unsubscribe.
Paid for by Harley Rouda for Congress
This email was sent by Congressman Harley Rouda. 120 Newport Center Drive Office 28, Newport Beach, CA 92660.
Your grassroots support makes all the difference as we take on the powerful and fight for a clean energy economy, civil liberties for all, and work to make Southern California the economic hallmark of our country. Chip in now so Harley can keep fighting for meaningful change in Washington!
Email is an important way for Harley Rouda to keep supporters like you informed about critical issues and to build a winning grassroots campaign. Too much email? Switch to our less email option here. If you no longer want to hear from Harley Rouda, click here to get off all our lists instantly.",Harley Rouda,U.S. House California District 48,Democratic Party,Federal,Congress,harleyforcongress.com,12-02-2019,ballotpedia-campaign,,,,2020-02-07,15,Fri,2620a7a4bf88c0556ec36ae682046e8a,574e65447847dbf6a244d48238de4b5a,Yes
6,Sarah Riggs Amico,info@sarahforgeorgia.com,Where is small business relief going?,"#
Hey all,
There’s no denying it: Thanks to the coronavirus pandemic, we’re seeing the beginning of a difficult economic downturn here in Georgia and across the country.
Small businesses, the kind of companies that employ nearly 50% of American workers and are the backbone of this country’s economy, have been the hardest hit.
And while the small business paycheck protection loans included in the CARES Act and subsequent expansions have certainly saved jobs, we have to make sure that the hundreds of billions Congress approved to keep Americans employed through this crisis is actually going to the small businesses that need it most.
That’s why I’m calling on Congress to make sure the next coronavirus relief package includes transparency provisions for small business loans so we know that the money is getting where it can do the most good. We need to know exactly what companies received relief loans, how much they were given, and what they plan to do with it.
Please, take a moment to add your name and urge Congress to take action to ensure relief funding is distributed wisely, fairly, and transparently as we work toward rebuilding our economy.
ADD YOUR NAME
Here’s the thing: Even though the Paycheck Protection Program has helped some Main Street businesses keep their employees paid, relief funding has also gone to Wall Street and large, profitable corporations who don’t need it as much as mom and pop stores desperately do.
And the money for small businesses just keeps running out. Because of how the PPP was structured, up to 90% of businesses owned by people of color have been shut out of the program. That’s unacceptable, and will only make this economic crisis hit communities of color worse.
I know how important it is to keep folks employed during an economic downturn \-- I saw it as my family worked to build a business and save jobs through the Great Recession. And I know that the businesses that are at risk of laying their employees off are the mom and pop restaurants, local grocers, family-owned landscaping companies, and more small and local businesses like them.
These are the small businesses we need to protect -- so they can protect their employees.
You’ve heard the phrase, “Too big to fail.” Small businesses might not have the same clout in Washington as Fortune 500 companies, but there’s nothing “small” about their combined economic impact. That’s why we have to protect small businesses in the next relief bill, and why we need to make sure the next coronavirus relief package is transparent about where relief aid goes.
If you agree, sign on to our petition demanding transparency in Paycheck Protection Program loans.
Thank you for your support.
Stay safe,
Sarah
DONATE
Paid for by Sarah Riggs Amico for Georgia, Inc.
Sarah Riggs Amico for Georgia, Inc.
PO Box 4221
Marietta, GA 30061
United States
unsubscribe",Sarah Riggs Amico,U.S. Senate Georgia,Democratic Party,Federal,State,https://sarahforgeorgia.com/,12-02-2019,ballotpedia-campaign,,,,2020-05-13,11,Wed,07cc61939bdacdbd9df69fa6166620da,2b31014f4f783b22e50dafbc53532d99,No
7,BREAKING SCOTUS NEWS,info@dscc.org,Here's how we can save the Supreme Court:,"This news changes everything!
Democratic Senatorial Campaign Committee
BREAKING from The New York Times: If Mark Kelly wins in Arizona, he could cast the DECIDING VOTE to stop Trump's SCOTUS nominee
A message from Mark Kelly
Donate $5 (becomes $20)
Team -- There has NEVER been so much at stake in a Senate race:
The New York Times announced that if Mark Kelly wins in Arizona, he could be sworn in EARLY and cast the DECIDING VOTE against Trump's SCOTUS nominee!
But recent polling has Mark Kelly just a hair ahead of his GOP opponent. And with control of the Supreme Court on the line, Mitch McConnell and the entire GOP just unleashed an UNPRECEDENTED onslaught of attack ads to defeat Mark!
Failing to fight back could mean losing our ONLY chance to save the Supreme Court.
That's why we set a goal to raise $250,000 to flip the Senate, but right now, we're on track to fall DANGEROUSLY short. We MUST hit this goal, and we won't meet it without your help.
Please, rush in $5 (becomes $20) to elect Mark Kelly, flip the Senate, and save our Supreme Court! No fight is more urgent >>
Donate $5 (becomes $20)
Donate $10 (becomes $40)
Donate $25 (becomes $100)
Rush Another Amount
Thank you so much for stepping up,
Team DSCC
* * *
The DSCC is the only committee solely dedicated to supporting Democrats in the U.S. Senate, and our work relies on grassroots supporters like you. If you'd like to make a contribution to support us, please click here.
Click here to receive fewer emails. Click here to unsubscribe.
Paid for by the DSCC | PO Box 96047, Washington, DC 20090 | [[URL REDACTED]] | Not authorized by any candidate or candidate’s committee.
Contributions or gifts to the DSCC are not tax deductible.",Lulu Seikaly,U.S. House Texas District 3,Democratic Party,Federal,Congress,https://lulufortexas.com/,12-02-2019,ballotpedia-campaign,,,,2020-10-23,21,Fri,043523e54b20ab9df6ef3ebea93d8460,c56b70f02a824e7d275717512bf4d5a9,No
8,When Democrats Turn Out,info@whendemocratsturnout.com,U.S. District judge bucks Trump,"When Democrats Turn Out
Alex,
Democrats just won a huge legal victory over the Trump agenda.
U.S. District Judge Fred Biery has agreed with Democrats in Texas, ordering that absentee ballots be made available to those “who seek to vote by mail to avoid transmission of the virus.” It’s a huge win for election security and a huge defeat for Trump’s anti-voter agenda.
But Texas’s Republican AG, Ken Paxton, says he will immediately appeal the decision. And Trump is ramping up his attacks on vote-by-mail as well \-- threatening to deny relief aid to states that seek to implement wider absentee ballot access because of his concern it’ll cost him the election.
43% of Americans still support Donald Trump, who’s continuing his attacks on vote-by-mail by the day. We need to know if you’ll stand up to him and stand for our right to participate in this year’s election without fear. Tell us:
Do you support expanded access to absentee voting?
YES NO
Thank you for your response,
The WDTO Team
TAKE THE SURVEY
Paid for by When Democrats Turn Out PAC
PO Box 15320
Washington, DC 20003
Unsubscribe",Christina Finello,U.S. House Pennsylvania District 1,Democratic Party,Federal,Congress,https://www.finelloforcongress.com/,12-02-2019,ballotpedia-campaign,,,,2020-05-28,21,Thu,51dd393ee82441f9df8444059e0f174c,cac31295d3b8a1dd986c47dfc68d2c4a,No
9,𝗕𝗥𝗘𝗔𝗞𝗜𝗡𝗚from South Carolina,info@jaimeharrison.com,this is huge (new poll),"Jaime's lead is slipping away...
Democrat Jaime Harrison is running for U.S. Senate to defeat Lindsey Graham because half of South Carolina wants him gone. If you would like to only receive our most important updates, click here. If you would like to unsubscribe, click here.
FIRST: Democrat Jaime Harrison was leading Lindsey Graham in the polls.
BUT THEN: Lindsey placed a MASSIVE ad buy in South Carolina.
AND NOW: Our lead is slipping away…
BREAKING: Jaime Harrison - 42%, Lindsey Graham 42%
CHIP IN RIGHT NOW TO HELP JAIME REGAIN THE LEAD →
This is NOT good, folks. This poll shows a close race, but we clearly still have a lot of work to do to win.
So we need to raise $30,000 by the end of the month on Sunday in order to regain the lead and defeat Lindsey Graham this November.
Can we count on you to chip in $10 or $25?
Chip in $10 immediately →
Chip in $25 immediately →
Chip in $50 immediately →
Chip in $100 immediately →
Chip in $250 immediately →
Or donate another amount →
It’s clear that Lindsey’s ads are working.
Jaime’s lead in the polls is gone…
But remember: We’re still tied, and this race is still competitive.
Lindsey’s never had an opponent as strong as Jaime!
Now we need your help to reach undecided voters and retake the lead.
What do you think? Will you chip in a few dollars to Jaime’s people-powered campaign today?
$10 →
$25 →
$50 →
$100 →
$250 →
Other →
We can’t do this without you.
\-- Jaime Harrison for U.S. Senate
Jaime Harrison for U.S. Senate
PAID FOR BY JAIME HARRISON FOR U.S. SENATE
P.O. Box 1767
Columbia, SC 29202
Please read the following message from Jaime Harrison:
I'm so grateful for your support in my campaign for U.S. Senate. Together, we'll bring hope back to the people Lindsey Graham has left behind.
This election isn't about left versus right. This is about right versus wrong. -- Jaime Harrison
Donate to Jaime Harrison →
This year is our best chance EVER to beat Lindsey Graham and bring new leadership to the Senate. Here's why:
ONE: From Doug Jones in Alabama to Joe Cunningham right here in South Carolina, voters across the South have shown they are ready for change.
TWO: Lindsey Graham isn't who he used to be. He's abandoned his principles to focus on pleasing President Trump.
THREE: There are thousands of swing voters in South Carolina. We need to spread my message and get these folks fired up to vote in November!
But I can't do it without you. Will you chip in to help me DEFEAT Lindsey Graham?
Donate to Jaime Harrison →
You received this message because you’re a critical part of our grassroots movement -- and email is an integral way for us to keep in touch.
If you’d like to update your email preferences,  click here. If you’d like to update your information,  click here. If you’d like to receive only our most important campaign updates,  click here. I'd hate to see you go, but if you’d like to unsubscribe,  click here.
Visit our campaign store →
Follow us on Twitter →
Follow us on Facebook →
Follow us on Instagram →
From me and the entire team, thanks for being a part of this movement!",Jaime Harrison,U.S. Senate South Carolina,Democratic Party,Federal,State,https://jaimeharrison.com/,12-02-2019,ballotpedia-campaign,,,,2020-05-29,12,Fri,d90e521da9a6a6ce4d376c24cfcd46a1,2c8732b4efad70e129ed3993db34d763,No
