,body_text,name,office_sought,party_affiliation,office_level,district_type,uid_email
0,"I am hoping to hear back from you soon, Alex
Full Logo
Alex,
Over the past week I've been asked several questions from both Republicans and Democrats regarding where I stand on the issues.
Donald Trump and Joe Biden's records of policy failures, racism, and inappropriate behavior are making many traditional voters reconsider who they will cast their ballot for.
Allow me to briefly tell you what I am fighting for:
* Healthcare Freedom: We can reduce the cost of health care 75% by allowing real price competition, and by substantially reducing government and insurance company paperwork. This will make health care affordable for most Americans, while also reducing the cost of legacy programs like Medicare, Medicaid, and the VA.
* Criminal Justice Reform: As President, I will use my Constitutional authority to end federal civil asset forfeiture prior to conviction, and pardon persons convicted of non-violent victimless crimes. I will also work with Congress to end the failed War on Drugs and other victimless crimes.
* Auditing the Federal Reserve: Our reckless monetary system threatens to destroy the value of the U.S. entirely and must be stopped. As President, I will audit the Federal Reserve and begin shutting down the money printing machine.
* Peace: I believe we should turn America into one giant Switzerland -- Armed and Neutral. It's time to bring our troops home and engage in free trade with our neighbors across the globe.
* Spending & Debt: As President, I will draw a line in the sand. NO MORE DEBT. I will use my authority to block any new borrowing and veto all new spending increases.
Alex, I believe 2020 has become a pivotal year for our movement.
The demand for criminal justice reform has never been greater... the two-party system has utterly failed to produce candidates worth voting for... and Americans are desperate for a leader with real solutions.
I hope you will consider joining our campaign. Please consider making an online contribution of $20.20, $35, $50, $100 or whatever you can afford by clicking here.
Thank you,
Dr. Jo Jorgensen
Donate
Paid for by Jo Jorgensen for President
Jo Jorgensen for President, 3620 Pelham Rd., #300, Greenville, South Carolina 29615, United States
Unsubscribe Manage preferences",Jo Jorgensen,President of the United States,Libertarian Party,Federal,Country,f7ce9e935fa707026409c5dd101f6bff
1,"I am not seeking to wield some kind of almighty power, rule people's lives, or simply beat Team Red or Team Blue...
Alex,
Do you know why I decided to run for President of the United States?
I am not seeking to wield some kind of almighty power, rule people's lives, or simply beat Team Red or Team Blue...
Voters need a real choice.
In 2016, the American people were forced to choose between Hillary Clinton and Donald Trump. Millions were frustrated and chose to vote who they viewed as the lesser of two evils.
Now?
Well, the two-party system has yet again chosen to nominate two disastrous candidates for the most powerful position in the world.
My desire is to provide the American people with a viable third choice this election. I am not offering bailouts to big banks, massive contracts to members of the military industrial complex, favors to lobbyists, or selling access...
What is my offer?
Liberty.
I wish to be elected President of the United States and do the following:
* Order our troops home the moment I enter the Oval office.
* Pardon all non-violent and victimless crimes.
* Unleash the free market and allow capitalism to revive our economy and reduce the cost of healthcare.
* Authorize a FULL audit of the Federal Reserve and put an end to the money printing machine.
* Demand Congress send me legislation to enact TRUE criminal justice reform.
* Begin rolling back the unconstitutional spying apparatus the NSA, Homeland Security, and CIA have built to creep on everyday Americans.
Alex, today is the very last day of my August online fundraising goal. I have roughly $120,000 left to raise today.
I am really counting on your help, Alex.
There's no way I can do this without your help.
You and I have a powerful opportunity to spread the message of liberty in 2020, defeat the two-party system, and change the direction of our country.
You can click here to donate ANY amount. A gift of $20.20, $50, $100, $250, $500, or even more makes a big difference.
Once you complete your donation, reply back, ""Done!"" and I will do my best to thank you throughout the day (I receive over 1,000 messages a day so please forgive me if it takes a little time!).
Thank you so much, Alex.
Please act ASAP.
We must meet this fundraising goal. I hope you will be one of the first supporters to answer this call to action.
You can use one of these links to donate:
Donate $20.20 >>>
Donate $35 >>>
Donate $50 >>>
Donate $100 >>>
Donate $250 >>>
Donate $500 >>>
Donate $1,000 >>>
Donate Any Amount >>>
Thank you,
\- Jo
Paid for by Jo Jorgensen for President.
Jo Jorgensen for President, 3620 Pelham Rd., #300, Greenville, South Carolina 29615, United States
Unsubscribe Manage preferences",Jo Jorgensen,President of the United States,Libertarian Party,Federal,Country,d32270a4a98ad08a264c4929a05b2738
2,"We are often asked on the campaign trail, ""Does Jo see our memes?"".
Jo Jorgensen 2020
Alex --
We are often asked on the campaign trail, ""Does Jo see our memes?"".
The answer?
Yes, she does. And she loves them.
Here are three of her favorite memes she's seen since the campaign got started!
(Keep scrolling for an important message)
Duoploy Meme
Jo Star Wars
(Don't worry... Jo's trigger discipline is better than this)
Toy Story Meme
It's no secret Jo's supporters are the most enthusiastic of all the candidates running for President.
No one in the Democratic Party is exactly thrilled about Joe Biden and his disgusting lifelong record of being a drug warrior and advocate for tough-on-crime legislation.
And President Trump has millions of Republicans who identify themselves as ""Never Trump Republicans"".
Alex, we have the support and momentum behind us to make history on November 3rd.
Let's reach more voters with our message of free markets, reduced healthcare costs, bringing the troops home, and ending the failed war on drugs.
Please consider chipping in $20.20, $50, $100, $250, $500, $1,000 or any amount you can afford by clicking here or the button below.
Donate Now >>
Jo hopes you like the memes we are sharing with you and asked us to give her a report on who contributes next. If you make a donation, we'll make sure to let her know!
Thank you,
Team Jo
Paid for by Jo Jorgensen for President.
Jo Jorgensen for President, 3620 Pelham Rd., #300, Greenville, South Carolina 29615, United States
Unsubscribe Manage preferences",Jo Jorgensen,President of the United States,Libertarian Party,Federal,Country,f0c013c0efa18f148465532aeb746105
3,"She wasn't on the stage but she was still a big winner from the first presidential debate.
Jo Jorgensen 2020
Alex,
She wasn't on the stage but she was still a big winner from the first presidential debate.
Americans hated what they saw from Trump and Biden, and millions of them pulled out their phone to google Jorgensen. We had a huge spike on Google.
The traffic was overwhelming, We're hustling to keep up and prepare for the next onslaught, which we expect to happen during the next debate. You can help pay for this work by making a contribution.
Meanwhile...
You can watch what Jo was saying during her debate interview with Elizabeth Nolan Brown, or read direct answers to the specific questions asked during the Trump-Biden debate...
Dr. Jo Jorgensen answers the debate questions
Q: What are your views on Supreme Court appointments?
A: I would only appoint people who will actually obey the Constitution, including especially the rigorous limitations placed on government power by the 9th and 10th Amendments.
Q: What are your healthcare plans?
A: I would work to restore free-market healthcare. We need price visibility and competition to lower costs.
Q: What would you do about COVID-19, shutdowns, and masks?
A: I would let businesses decide whether to be open and when, where, and how masks must be worn. Customers could then make their own choices about where to go or not go based on those individual policies.
Q: What would you do about a vaccine?
A: I won't pretend to be America's pharmacologist in chief. Vaccine providers must do their job, and then individual Americans should be free to decide whether or not to take the resulting vaccines.
Q: What would you do about the economy?
A: The private sector uses resources better than the government. So I would cut government spending dramatically and put those resources back into the productive economy.
Q: What would you do about taxes?
A: I will cut taxes as fast as I can. Individual Americans will make better use of the money.
Q: What would you do about race relations in America?
A: Great Society programs destroyed black families. Then the Nixon administration launched the drug war to further devastate the black community. Then Senator Biden passed a crime bill that placed huge numbers of black men behind bars. I would end the drug war and all the other laws that police use to harass black people.
Q: How would you change policing in America?
A: I would repeal all victimless crime laws, so police would have fewer reasons to hassle people. I would also outlaw qualified immunity so that police can be held responsible for the consequences of their actions. The result would be fewer dead citizens and fewer dead cops.
Q: What would you do about the protests?
A: The Democrats and Republicans both use laws to impose things on people against their will. This makes people angry. I would work to repeal all such laws, thereby reducing the anger.
Q: Why should voters prefer you?
A: I won't use the government to impose things on them against their will. I'll free them to make their own choices provided they respect the equal right of others to do the same.
Q: What would you do about forest fires?
A: I notice that most wildfires start on public lands. I would try to put more lands in private hands and instruct the Forest Service to emulate what the private sector does to prevent fires.
Q: What would you do about global warming?
A: Increased use of nuclear power would do more to reduce carbon emissions than any other policy. I would end subsidies that favor other forms of energy, and remove obstacles that block the wider adoption of nuclear power.
Q: What do you think about election integrity?
A: Election integrity starts by letting all the ballot-qualified candidates appear in the debates.
Donate
Paid for by Jo Jorgensen for President.
Jo Jorgensen for President, 3620 Pelham Rd., #300, Greenville, South Carolina 29615, United States
Unsubscribe Manage preferences",Jo Jorgensen,President of the United States,Libertarian Party,Federal,Country,e64baa5ea0f62c26a68d8db1f3138300
4,"This week, Americans will have the opportunity to watch Debate Train-wreck 2.0 with Mike Pence and Kamala Harris in the Vice Presidential
Jo20-Logo
Alex,
This week, Americans will have the opportunity to watch Debate Train-wreck 2.0 with Mike Pence and Kamala Harris in the Vice Presidential Debate.
Mike Pence will serve as a shill for the Trump administration.
He will say anything to defend Trump's terrible record on spending and increasing the debt by TRILLIONS of dollars all while pretending to be a so-called, ""conservative"".
Kamala Harris will regurgitate everything she learned in debate prep to avoid discussing her horrendous record on criminal justice reform.
Biden and Harris are both responsible for locking up THOUSANDS of men and women for victimless crimes and have never apologized or done anything to rectify their mistakes.
In fact, Kamala Harris laughed about smoking pot on a podcast while failing to do anything to help the people hurt by the War on Drugs.
Make No Mistake: This is a fake debate and neither Mike Pence nor Kamala Harris will answer for their terrible mistakes.
Alex, Jo and I are fighting for REAL criminal justice reform and to pardon those Pence and Harris have locked up for victimless crimes...
We're fighting to cut spending and save our country from financial ruin...
We're fighting to unleash the free market to save our failing healthcare system...
And we're fighting to bring the troops home...
But we need your help.
The next FEC deadline is actually October 14th. Many of our contributions arrive near the end of the month... that won't work this time.
Alex, this is a call-to-action: Please consider donating $5, $20.20, $50, $100, $250 or more today.
Donate $5 >>
Donate $20.20 >>
Donate $50 >>
Donate $100 >>
Donate $250 >>
Donate $500 >>
Donate $1000 >>
Donate any amount >>
Thank you for everything you have done for our movement, Alex!
Spike Cohen
Vice Presidential Candidate
Paid for by Jo Jorgensen for President.
Jo Jorgensen for President, 3620 Pelham Rd., #300, Greenville, South Carolina 29615, United States
Unsubscribe Manage preferences",Jo Jorgensen,President of the United States,Libertarian Party,Federal,Country,3e0bf9431672659a1e876349136bbf51
5,"Watching President Trump and Joe Biden ""debate"" each other is mind numbing...
circle-cropped \(4\)
Here are my post debate thoughts on Trump and Biden:
Alex -- Watching President Trump and Joe Biden ""debate"" each other is mind numbing... but I do want to share my thoughts on what was discussed this evening.
Before I share my thoughts - During the last debate our campaign raised over $100,000 in 24 hours and EXPLODED with new supporters. Can we do it again? Please click here to donate $20.20, $50, $100, $250 or any amount.
The economy, lockdowns, and COVID19:
Biden is doing everything he can to place the blame on President Trump. In turn, Trump is attempting to blame Biden and the Democrats for destroying the economy by forcing businesses to shut down.
The reality?
These lockdowns have been a bipartisan disaster.
We have lost THOUSANDS of businesses and MILLIONS for jobs because of the actions taken by politicians willing to tear up the Constitution during a crisis.
As President, I would re-open our economy and unleash the free market to create solutions for viruses such as COVID19.
Foreign governments and backroom deals:
I can't pretend to know all the details of the back room deals President Trump and Joe Biden make.
However, I do know these men have a history of making shady deals and are well connected with the global elite.
I don't trust either of them with our economy, taxpayer money, or to act ethically in the White House.
Healthcare:
We will NEVER achieve victory on healthcare reform until we adopt free market solutions. We can dramatically reduce the cost of healthcare by reducing regulations, FULLY repealing Obamacare, and embracing innovation.
Criminal Justice Reform:
Neither of these men are qualified to speak about criminal justice reform. Biden enacted the 1994 crime bill and Trump has DONE nothing to end the War on Drugs.
As President, I would pardon non-violent drug offenders, seek to end qualified immunity, and stop arming police departments with weapons from the Pentagon.
Climate Change:
I am the only candidate proposing a solution that will cut our CO2 gas emissions rapidly... nuclear power.
We need to unleash the free market to solve environmental issues. Not the government!
Post Debate Call-To-Action:
During the last debate, our website traffic blew up, Google searches for our campaign reached record highs, voter pledges flooded in, and new donors. We even raised over $100,000 in 24 hours.
Americans are searching for another candidate to vote for. We MUST reach them during this critical window of opportunity and earn their vote.
Please take action as soon as possible by donating $1,000, $500, $250, $100, $50, $20.20, $10, or even $5 by clicking here.
## 24 HOUR POST DEBATE GOAL: $100,000
Donate $10 >>>
Donate $20.20 >>>
Donate $35 >>>
Donate $50 >>>
Donate $100 >>>
Donate $250 >>>
Donate $500 >>>
Donate $1,000 >>>
Donate Any Amount >>>
You and I have an opportunity to earn the largest popular vote total EVER for a Libertarian presidential candidate.
We can do this together.
Please answer this call-to-action as fast as possible. I'm counting on your help.
Jo Jorgensen
Paid for by Jo Jorgensen for President.
Jo Jorgensen for President, 3620 Pelham Rd., #300, Greenville, South Carolina 29615, United States
Unsubscribe Manage preferences",Jo Jorgensen,President of the United States,Libertarian Party,Federal,Country,8e13b144118bc506291d4630c96f9e28
6,"Georgia is one of only four states in America not to have any hate crime laws.
After the February lynching of Ahmaud Arbery and the belated arrest of his killers last week, Georgia must pass hate crime legislation to honor the memory of Ahmaud and to ensure that justice is served in any future hate crimes.
That is why I am asking you to join me by demanding in the strongest possible terms that the Georgia Legislature pass its existing hate crime legislation H.B. 426 for Governor Brian Kemp to sign into law.
Friend,
Ahmaud Arbery’s murder is part of a system of oppression that extends beyond Georgia. The public outrage it has triggered it is not confined to our state lines.
The injustice made known to the public last week has stoked a national outrage and a call to action — as one of only four states without a hate crime law in place, Georgia must pass such legislation into law immediately as a justice tribute to Ahmaud Arbery and any future victims of such atrocities.
Please join me in calling for the Georgia Legislature to pass hate crime legislation with H.B. 426 for Governor Brian Kemp to sign into law. Once you have added your name, you will have the opportunity to contribute to the Georgia NAACP which is fighting for justice on behalf of Ahmaud Arbery’s family.
The culture of vigilantism that contributed to Ahmaud Arbery’s murder — a culture made legal by so-called “stand your ground” laws and encouraged by too many conservative politicians and personalities, as well as gun lobbyists and manufacturers — must end.
Add your name to join me in calling for the Georgia Legislature to pass the hate crime bill H.B. 426. We can change the law if enough of us speak up together.
Thank you for joining me.
Yours truly,
Teresa
* * *
PAID FOR BY TERESA TOMLINSON FOR SENATE
PMB 263, 3201 Macon Rd Ste 139, Columbus, GA 31906
This message was sent to: [[EMAIL_REDACTED]].
Contributions or gifts to Teresa Tomlinson for Senate are not deductible for federal income tax purposes.
We believe that emails are a crucial way for our campaign to stay in touch with supporters like you. However, if you'd prefer to receive fewer emails, you can click here. If you would like to unsubscribe, click here. Thanks for your support!",Teresa Tomlinson,U.S. Senate Georgia,Democratic Party,Federal,State,95b7cbb688ed8371c62fe23bd007a005
7,"Friend,
David Perdue has used his position of public trust to enrich himself from the very first days after he was elected to the Senate, according to a new report published yesterday by The Intercept.
In 2014, he secured stock options from the financial technology company Cardlytics where he served as a board member, options that “would grow to be worth more than $6 million” as Perdue “has worked to roll back regulations that govern firms like [[URL REDACTED]] has sponsored legislation that would be to the firm’s benefit.”
Already this year, Perdue’s stock trades following a secret Senate briefing on coronavirus have raised ethical red flags, with possible evidence of insider trading. Now we are learning the details of how he has legislatively engineered the conditions under which his own investment is able to grow. It bewilders me that such an action is not itself a crime — but it is without question unethical.
Here is the bottom line: David Perdue is not fit to serve. His self-interest and self-regard as Donald Trump’s man in the Senate have led us to a public health and economic crisis.
Polling shows our race is extremely competitive and Georgia is the battleground state in an expanded Senate map against vulnerable Republican incumbents.
We can win this race, but I need you to chip in right now with less than 4 weeks left before the June 9 primary election and help me take him on. Make your first donation right now at the most critical time for our campaign to take back the Senate majority.
If you've stored your info with ActBlue, we'll process your contribution instantly:
Thank you for your commitment and continued support.
Yours truly,
Teresa
* * *
PAID FOR BY TERESA TOMLINSON FOR SENATE
PMB 263, 3201 Macon Rd Ste 139, Columbus, GA 31906
This message was sent to: [[EMAIL_REDACTED]].
Contributions or gifts to Teresa Tomlinson for Senate are not deductible for federal income tax purposes.
We believe that emails are a crucial way for our campaign to stay in touch with supporters like you. However, if you'd prefer to receive fewer emails, you can click here. If you would like to unsubscribe, click here. Thanks for your support!",Teresa Tomlinson,U.S. Senate Georgia,Democratic Party,Federal,State,ea2f32d24b25a2ecaec509575d02cc8e
8,"Friend,
This Asian and Pacific Islander American Heritage Month carries with it a special significance, and much to celebrate. In the past year, several major presidential contenders of Asian and Pacific Islander heritage have run in the Democratic primary, and a new generation of political talent from these communities is at the forefront of a burgeoning progressive movement that has made Georgia a fiercely competitive general election state.
Asian Americans are the fastest growing ethnic group in Georgia. Languages like Hindi, Korean, Tagalog, Vietnamese, Mandarin Chinese, and Cantonese are being spoken in more homes every day, and these neighbors of ours contribute not only to Georgia’s rich cultural diversity, but also our growing economic power.
Unfortunately, there has been serious adversity this year. We are seeing unprecedented levels of racist scapegoating of Chinese-Americans along with the broader Asian American community by our own President. But those racist actions cannot mask his incompetent government response to the coronavirus pandemic. Unemployment now tops 14% — the highest seen since the Great Depression. Minority-owned small businesses are being wiped out, a disproportionate amount of relief benefits are going to white-owned businesses, and misguided fears of how the virus is spread — promoted by Donald Trump — have led to a spike in hate crimes against Asian Americans and the avoidance of their business establishments.
Georgia’s Asian American communities have been confronted with voter suppression, cruel family separation immigration policies, and unacceptable levels of racism, xenophobia, and religious bigotry. Our next senator must do everything she can to honor, respect, and represent all Georgians in the Senate in response not only to this pandemic, but also to the conditions that existed before it occurred.
I am grateful to have the endorsement of the progressive Asian American Advocacy Fund, the Georgia-based grassroots organization fighting this administration’s cruel policies, as well as for gay and transgender rights, a Green New Deal, and laws reflecting the mantra that Black Lives Matter. Their support in this primary means a great deal, and I will work every day to continue earning it.
Friend, we are building a multiracial, multiethnic and multifaith movement to win Georgia and flip the Senate majority in this very winnable election, but I need your help.
Please make a donation today with less than 4 weeks until our June 9 primary. Every dollar helps us reach the voters we need to win.
If you've stored your info with ActBlue, we'll process your contribution instantly:
Thank you for your commitment and continued support.
Yours truly,
Teresa
* * *
PAID FOR BY TERESA TOMLINSON FOR SENATE
PMB 263, 3201 Macon Rd Ste 139, Columbus, GA 31906
This message was sent to: [[EMAIL_REDACTED]].
Contributions or gifts to Teresa Tomlinson for Senate are not deductible for federal income tax purposes.
We believe that emails are a crucial way for our campaign to stay in touch with supporters like you. However, if you'd prefer to receive fewer emails, you can click here. If you would like to unsubscribe, click here. Thanks for your support!",Teresa Tomlinson,U.S. Senate Georgia,Democratic Party,Federal,State,d3c530fef431206d2010b0b40e766263
9,"Jamaal's not running against Eliot Engel just because.
Jamaal Bowman for Congress
Alex,
It takes a lot to beat an entrenched incumbent. It's hard work, every single day. But Jamaal is taking on Eliot Engel because it has to be done.
For 30 years, Engel has sided with the likes of Wall Street, weapons manufacturers, and private, for-profit prisons. Time and time again, he has put these wealthy interests ahead of the people of his own district.
After seeing the real-world impact that Eliot Engel's votes have had, Jamaal decided to do something about it. He is committed to beating Engel with a grassroots, people-powered campaign that takes no money from corporate interests.
Like we said, it's hard work, every day. But it's possible because we have people like you supporting us. If you still believe in this campaign, can you chip in $15 (or whatever you can afford) to help us reach our $25,000 end-of-month goal?
Contribute $15 »
Take a look at where they each stand:
✅ Jamaal believes in progressive foreign policy, taking care of veterans, and reducing spending on foreign wars and bombs…
❌ [[URL REDACTED]] Eliot Engel voted for the Iraq war and has taken more money from the weapons manufacturers than 144 House Republicans.
✅ Jamaal supports justice reform, including the repeal of the 1994 crime bill and banning private, for-profit prisons…
❌ [[URL REDACTED]] Eliot Engel championed the 1994 crime bill and did not support HR 3227, which would have banned private prisons and detention facilities.
✅ For nearly two decades, Jamaal served as a middle school principal and as an advocate for working-class families right here in the Bronx…
❌ [[URL REDACTED]] Eliot Engel spent over three decades in Congress voting for wars, Wall Street, and prisons over education and resources for working-class families.
Jamaal is ready to fight for all of these things, as well as for other bold, progressive solutions like Medicare for All and a Green New Deal.
But taking on an entrenched incumbent is hard work, and we expect it will only get tougher until Election Day on June 23. To keep our campaign going as strong as it is, we need to reach our end-of-month goal and raise at least $25,000 by midnight on Thursday.
If everyone who reads this pitches in, we'll get there in no time. But not everyone who reads this will give. Alex, can we count on you to step up and pitch in $15 (or whatever you can) so we can meet our $25,000 end-of-month goal?
Contribute $15 »
Thanks for all you do,
Team Bowman
* * *
Like on Facebook Like on Facebook
DONATE NOW
VOLUNTEER
PAID FOR BY BOWMAN FOR CONGRESS
Bowman for Congress
81 Pondfield Rd, Suite D 351
Bronxville, NY 10708
Sent via [[URL REDACTED]] To update your email address, change your name or address, or to stop receiving emails from Jamaal Bowman for Congress, please click here.",Jamaal Bowman,U.S. House New York District 16,Democratic Party,Federal,Congress,42a37b4b8f7c9e4b1d965a9dfd12bb74
10,"This is #MyBloombergStory.
Alex,
In the early 2000s, I was a young teacher, and Bloomberg was mayor.
Stop-and-frisk was a way of life, emboldening the police and perpetuating a culture of police harassment and brutality against the Black community. One day, as I drove home from work to pick up my son, I was pulled over on the Grand Concourse in the South Bronx by the cops. They said that I failed to use my turn signal to change lanes, but I knew that was bullshit. I knew I was pulled over for DWB: Driving While Black.
I was taken out of my car, handcuffed, and arrested. I spent hours in a cell, before I was released without even seeing a judge. No charge. No explanation. No apology.
This was just one example of a terrifying, dehumanizing experience I have had with the police as a Black man in America. Some people are trying to downplay stop-and-frisk. They don’t think Bloomberg should be held responsible for championing and defending this blatant violation of constitutional rights, a policy that disproportionately impacted people of color. I ask those naysayers this:
How can the Black community improve our academic, health, or economic outcomes while we’re living in perpetual terror?
I understand the challenges facing our communities in a way the incumbent never has and never will. Perhaps that's why Engel has consistently voted for tough-on-crime policies that have decimated communities of color.
We deserve a Representative who will actively speak out against racial injustice, and won't wait to be asked. A Representative who won't just say he supports the right solutions, but will be a leader in fighting to get them passed.
I hope my story inspires more black, brown, and working-class New Yorkers to share their stories about the pain Bloomberg caused in our communities.
Bloomberg has not shown he understands the pain he caused in our community -- at all. We deserve better from our leaders; that's why I am running for Congress. My campaign is about bringing us all together, combating apathy with a movement based in love and action. I hope you will join me in that spirit.
In solidarity,
Jamaal Bowman
DONATE NOW
VOLUNTEER
PAID FOR BY BOWMAN FOR CONGRESS
Bowman for Congress
81 Pondfield Rd, Suite D 351
Bronxville, NY 10708
Sent Via [[URL REDACTED]] To update your email address, change your name or address, or to stop receiving emails from Jamaal Bowman for Congress, please click here.",Jamaal Bowman,U.S. House New York District 16,Democratic Party,Federal,Congress,985bec54a1f6709586e22b163f0bce8d
11,"Greetings!
Gun control policy continues to be a hot-button issue in America. Both Democrats and Republicans agree that people deserve to live in safe environments, but disagree on how to get there.
As a nation, we must all engage in this critical conversation on how we approach this sensitive issue. We all believe that everyone in this country deserves to live and thrive, which is why Rush Darwish has made his campaign slogan, “It’s About Us,” and why we call our campaign the Us Movement.
At the beginning of the campaign, Rush and the team focused on being tough on the gun crime which affects too many of our neighborhoods.
Our team has crisscrossed the 3rd District and we’ve listened to the perspectives of a lot of constituents. Here at the Us Movement, we believe that we need to take a humanitarian approach to policy and listen to the pulse of our district. That’s why we’ll be holding a town hall event on gun safety and the “straw for life” policy. We are committed to hearing all perspectives.
If you would like to attend our event and make your voice heard, we’d love to see you there.
Sincerely,
Jedidiah Brown
Regional Field Director
Donate Now
Volunteer Now
Rush 4 Congress | [[URL REDACTED]]
Facebook    Twitter    Instagram    LinkedIn
The People for Rush Darwish | 9918 Southwest Highway, Oak Lawn, IL 60453
Unsubscribe [[EMAIL_REDACTED]]
Update Profile | About Constant Contact
Sent by [[URL REDACTED]] in collaboration with
Trusted Email from Constant Contact - Try it FREE today.
Try email marketing for free today!",Rush Darwish,U.S. House Illinois District 3,Democratic Party,Federal,Congress,2823cefb6f004e1a95de574f75a76c11
12,"Susan Wagle for Senate
Alex --
The radical House Democrats just shredded the constitution. We need to act now.
House Democrats just did what they planned all along. They voted to impeach President Trump. What was his crime? Winning an election and leading the greatest economic boom in our lifetime.
Make no mistake, this was a vote to undue the 2016 election. Kansans overwhelmingly voted for President Trump. And Washington DC liberals just tried to silence our voice.
I stand with President Trump. Where does Barbara Bollier stand? She’s going to try and stay silent. Don’t let her.
Sign the petition to let Barbara Bollier know she needs to let us know NOW if she sides with Kansans or the radical Democrats like Nancy Pelosi and Chuck Schumer.
Make a donation to my campaign so I can go the Senate and Stand with President Trump.
I’m the Republicans best chance to defeat Barbara Bollier who will be a rubber stamp for Chuck Schumer.
Let’s stand. Let’s fight for our values and the constitution.
Susan Wagle
[[URL REDACTED]]
This email was sent to [[EMAIL_REDACTED]]. To stop receiving emails, click here.
You can also keep up with Susan Wagle on Twitter or Facebook.
PAID FOR BY WAGLE FOR KANSAS",Susan Wagle,U.S. Senate Kansas,Republican Party,Federal,State,ceaec71e79c2fe7bc9898fa70a3b37ba
