from_name,from_address,subject,body_text,name,office_sought,party_affiliation,office_level,district_type,final_website,crawl_date,source,state,type,subtype,date,hour,day,uid_email,uid_inbox,incumbent
Kathleen Williams,info@kathleenformontana.com,Welcome to the team!,"Thanks for joining the team! My name is Kathleen Williams, and I’m proudly running to be Montana’s lone representative in the U.S. Congress.
Kathleen Williams for Congress
Thank you for joining the team!
When people put their faith in you, help build a movement bigger than yourself, when they look you in the eye and tell you they believe in you -- you don’t give up. You double down.
I'm proud to be running to be Montana’s lone representative in the U.S. Congress. Montanans want and deserve change. Let's do this together.
Help me build a winning campaign with a $10 or $25 contribution today.
From here, we’ll hit the campaign trail hard. I will be traveling back and forth across the state, meeting people of all political stripes and planning the future of our state together.
I need you with me in this effort! Chip in $10 or $25 right now.
Let’s win this,
Kathleen Williams
Paid for by Williams for Montana
This email was sent to [[EMAIL_REDACTED]]. Don't want to receive these emails anymore? Unsubscribe
Kathleen Williams, P.O. Box 548 Bozeman, MT 59771",Kathleen Williams,U.S. House Montana At-large District,Democratic Party,Federal,Congress,https://kathleenformontana.com/,12-02-2019,ballotpedia-campaign,,,,2019-12-05,19,Thu,7182e4e604717330ecaf2699be61b200,08f13962c5b2090e32c902552a4ff634,No
Goal Update -- via Team Kathleen,info@kathleenformontana.com,Quickly closing in,"We’re just 5 days away from our June 30th FEC public fundraising goal and we have no plans to stop our efforts anytime soon. That’s because we still
Kathleen Williams for Congress
Please be safe and follow CDC guidance during the coronavirus outbreak. As our country works through this difficult time, please join me in reaching out to those in need or who are feeling isolated - we are all in this together.
We’re just 5 days away from our June 30th FEC public fundraising goal and we have no plans to stop our efforts anytime soon.
That’s because we still need to raise $20,845 before June ends.
With our goal quickly closing in, we can’t slow down now. Will you help us close out our goal with a $20 donation?
If you've saved your payment information with ActBlue Express, your donation will go through immediately:
$10 $25
$50 $100
$250 Other
We still need to work hard to get the entire team past the finish line before Tuesday’s midnight deadline. We can’t look unprepared this early in our fundraising drive.
Will you help support Kathleen’s mission to bring true representation for Montanans to the U.S. House with a $20 donation? Every dollar we get through the door doubles our campaign’s strength. Please chip in today.
Thank you,
Team Kathleen
Kathleen Williams is a fighter for Montana. She is running for Congress to fix our broken health care system, foster opportunity for all Montanans and protect Montana's outdoor heritage.
CONTRIBUTE MONTHLY
To donate via mail, please send a contribution to PO BOX 548 BOZEMAN, MT 59771
Paid for by Kathleen Williams for Montana
This email was sent to [[EMAIL_REDACTED]]. Don't want to receive these emails anymore? Unsubscribe
Kathleen Williams, P.O. Box 548 Bozeman, MT 59771",Kathleen Williams,U.S. House Montana At-large District,Democratic Party,Federal,Congress,https://kathleenformontana.com/,12-02-2019,ballotpedia-campaign,,,,2020-06-25,14,Thu,00768081c0a2487180314475ed1121d1,08f13962c5b2090e32c902552a4ff634,No
Kathleen Williams,info@kathleenformontana.com,Welcome to the team!,"Thanks for joining the team! My name is Kathleen Williams, and I’m proudly running to be Montana’s lone representative in the U.S. Congress.
Hi there,
Thanks for joining the team! My name is Kathleen Williams, and I’m proudly running to be Montana’s lone representative in the U.S. Congress.
I’m running so that everyday Montanans have someone to stand up for them. I come from a past rooted in hard work and I’m comfortable rolling up my sleeves to get a job done—whether that be in the rivers in rural Montana or passing legislation in the Montana Capitol as a state representative.
Now I want to hear from you. Can you take a moment to let me know what your most pressing issues are by quickly filling out a quick survey?
I have spent my 36-year career working with people of all political stripes to find win-win solutions to meet Montana’s most urgent needs, including affordable health care, good-paying jobs and protecting Montana's outdoor heritage.
Kathleen Williams: Candidate for U.S. Congress \(MT-AL\)
Since kicking off my campaign earlier this year, I’ve spent the last few months on the road talking with folks all across Montana. Farmers and ranchers. Nurses and teachers. Hunters and anglers. Tribal members and leaders. Because at the end of the day, we can’t solve our problems by staying in our own corners.
I’m excited for the rest of the journey and I look forward to keeping you updated from the campaign trail.
Right now, I really want to hear from you, though. Can you take a moment to let me know what’s on your mind? I can’t overstate how important it is to hear from you about what matters to you.
Thank you,
Kathleen Williams
DONATE
Paid for by Williams for Montana
This email was sent to [[EMAIL_REDACTED]]. Don't want to receive these emails anymore? Unsubscribe
Kathleen Williams, P.O. Box 548 Bozeman, MT 59771",Kathleen Williams,U.S. House Montana At-large District,Democratic Party,Federal,Congress,https://kathleenformontana.com/,12-02-2019,ballotpedia-campaign,,,,2019-12-03,19,Tue,54f56022dcd037ccb583f65a5668a073,08f13962c5b2090e32c902552a4ff634,No
Kathleen Williams,teamwilliams@kathleenformontana.com,Remembering Dr. King,"Today we remember and honor the legacy of Dr. Martin Luther King Jr. and his contributions to our country. It’s no overstatement to say that he fundam
Kathleen Williams for Congress
Supporters,
Today, we remember and honor the legacy of Dr. Martin Luther King Jr. and his contributions to our country. It’s no overstatement to say that he fundamentally changed the course of our country, and his impact lives on today.
“Injustice anywhere is a threat to justice everywhere.”
Dr. King
Dr. King’s actions still hold important lessons we can’t forget: when we come together for the common good, we’re all better for it.
There is still work to be done to ensure everyone has equal, unrestricted access to the ballot box and beyond -- and that’s a mission I will take with me to Congress this November. I’m honored to have you along for the journey.
In remembrance of Dr. King,
Kathleen Williams
Kathleen Williams for Congress
Kathleen Williams is a fighter for Montana. She is running for Congress to fix our broken health care system, foster opportunity for all Montanans and protect Montana's outdoor heritage.
CONTRIBUTE
Paid for by Kathleen Williams for Montana
This email was sent to [[EMAIL_REDACTED]]. Don't want to receive these emails anymore? Unsubscribe
Kathleen Williams, P.O. Box 548 Bozeman, MT 59771",Kathleen Williams,U.S. House Montana At-large District,Democratic Party,Federal,Congress,https://kathleenformontana.com/,12-02-2019,ballotpedia-campaign,,,,2020-01-20,12,Mon,ff3fc8ba9b209b771a73ef831a4117b5,08f13962c5b2090e32c902552a4ff634,No
Jeff Allen,teamwilliams@kathleenformontana.com,We need to close the gap fast,"Here’s the truth,summer is the most difficult fundraising season for any campaign, even though it’s
Kathleen Williams for Congress
Please be safe and follow CDC guidance during the coronavirus outbreak. As our country works through this difficult time, please join me in reaching out to those in need or who are feeling isolated - we are all in this together.
Here’s the truth, summer is the most difficult fundraising season for any campaign -- even though it’s our most critical.
And with July quickly coming to an end, we need to close the $15,289 gap that still stands between us and our end-of-month fundraising drive. Will you chip in $15 to help us catch up to where we should be today?
If you've saved your payment information with ActBlue Express, your donation will go through immediately:
$10 $25 $50
$100 $250 Other
Unless we get a second wind of support, there’s no path that will get us to our goal before July ends. That means we’ll have to make serious budget cuts that will affect our online ads, our radio airtime and even our staffing.
That would mean we’re losing out on key resources to get Kathleen elected. But we still have time before Friday’s midnight deadline. Will you rush in a contribution of any amount to help us fund our program throughout the summer?
Thank you,
Jeff Allen
Campaign Manager
Kathleen Williams for Congress
Kathleen Williams is a fighter for Montana. She is running for Congress to fix our broken health care system, foster opportunity for all Montanans and protect Montana's outdoor heritage.
CONTRIBUTE MONTHLY
To donate via mail, please send a contribution to PO BOX 548 BOZEMAN, MT 59771
Paid for by Kathleen Williams for Montana
This email was sent to [[EMAIL_REDACTED]]. Don't want to receive these emails anymore? Unsubscribe
Kathleen Williams, P.O. Box 548 Bozeman, MT 59771",Kathleen Williams,U.S. House Montana At-large District,Democratic Party,Federal,Congress,https://kathleenformontana.com/,12-02-2019,ballotpedia-campaign,,,,2020-07-27,17,Mon,36e237928f238bf5fab8d5a5462d9a04,08f13962c5b2090e32c902552a4ff634,No
Team Kathleen,teamwilliams@kathleenformontana.com,3 major moments,"This has been a whirlwind of a year for Kathleen and the team, and we wanted to update you on how far we’ve come since we launched our campaign last y
Kathleen Williams for Congress
Please be safe and follow CDC guidance during the coronavirus outbreak. As our country works through this difficult time, please join me in reaching out to those in need or who are feeling isolated - we are all in this together.
This has been a whirlwind of a year for Kathleen and the team, and we wanted to update you on how far we’ve come since we launched our campaign last year.
But we’re not hitting the brakes just yet. We need to continue to keep up our historic momentum all the way until November 3rd. Your $10 donation helps us keep the entire campaign running at full speed. Will you chip in right now?
If you've saved your payment information with ActBlue Express, your donation will go through immediately:
$10 $25 $50
$100 $250 Other
Here’s where 2020 has taken us so far:
1. Since March, we’ve been tied with our Trump-endorsed, Republican opponent Matt Rosendale 47-47. This is anybody’s race to win -- and to lose.
2. We SWEPT the Montana Democratic Primaries this June, taking in 89.5% of the vote. This was an astounding message that our supporters are ready to fight all the way to November.
3. Our race was added to the Democratic Congressional Campaign Committee’s Red to Blue list because they believe we’re one of the BEST pickup opportunities in the country.
And those are just some of the many moments that have shifted and changed this race. We’re not done fighting yet, and with the summer being our busiest season yet, what we do now will determine whether we’re successful on election night.
That’s why it’s all hands on deck at Team Kathleen. If you’re ready to jump into the race and help elect Kathleen, rush in $10, or $30, right now. It’s supporters like you who will help bring us a historic victory this November.
Thank you,
Team Kathleen
Kathleen Williams is a fighter for Montana. She is running for Congress to fix our broken health care system, foster opportunity for all Montanans and protect Montana's outdoor heritage.
CONTRIBUTE MONTHLY
To donate via mail, please send a contribution to PO BOX 548 BOZEMAN, MT 59771
Paid for by Kathleen Williams for Montana
This email was sent to [[EMAIL_REDACTED]]. Don't want to receive these emails anymore? Unsubscribe
Kathleen Williams, P.O. Box 548 Bozeman, MT 59771",Kathleen Williams,U.S. House Montana At-large District,Democratic Party,Federal,Congress,https://kathleenformontana.com/,12-02-2019,ballotpedia-campaign,,,,2020-07-10,17,Fri,a7536957771135b29d8bc52057c7a461,08f13962c5b2090e32c902552a4ff634,No
Montana HQ,teamwilliams@kathleenformontana.com,We’re not down for the count,"Friends, we’re not on track to meet our end-of-quarter goal, but luckily there’s still time before we
Kathleen Williams for Congress
Please be safe and follow CDC guidance during the coronavirus outbreak. As our country works through this difficult time, please join me in reaching out to those in need or who are feeling isolated - we are all in this together.
Friends, we’re not on track to meet our end-of-quarter goal, but luckily there’s still time before we’re down to the wire.
The countdown is ending quickly and we need to raise $6,310 before we hit our $20,000 goal. Even $15 will get us back on track.
If you've saved your payment information with ActBlue Express, your donation will go through immediately:
$10 $25 $50 $100 Other
No matter if it’s fighting for Main Streets or protecting Montanans’ healthcare, we need Kathleen in the House fighting for us -- not special interests.
Montanans are ready to elect a real leader for our state, not another ladder-climbing political opportunist. That’s why we need Kathleen.
Whether it’s $5 or $500, every contribution we get goes directly back to our operation and helps send in an impressive public report. Please chip in today.
Thank you,
Montana HQ
Kathleen Williams is a fighter for Montana. She is running for Congress to fix our broken health care system, foster opportunity for all Montanans and protect Montana's outdoor heritage.
CONTRIBUTE MONTHLY
To donate via mail, please send a contribution to PO BOX 548 BOZEMAN, MT 59771
Paid for by Kathleen Williams for Montana
This email was sent to [[EMAIL_REDACTED]]. Don't want to receive these emails anymore? Unsubscribe
Kathleen Williams, P.O. Box 548 Bozeman, MT 59771",Kathleen Williams,U.S. House Montana At-large District,Democratic Party,Federal,Congress,https://kathleenformontana.com/,12-02-2019,ballotpedia-campaign,,,,2020-03-28,14,Sat,94a9d5119f4bde190b07e0d43efed0b6,08f13962c5b2090e32c902552a4ff634,No
Kathleen Williams,teamwilliams@kathleenformontana.com,Surprise! Another new ad!!,"Yesterday, we launched a brand new ad -- focusing on finding common-sense solutions the Montana way -- but we’re not stopping there. Just today we lau
Kathleen Williams for Congress
Please be safe and follow CDC guidance during the coronavirus outbreak. As our country works through this difficult time, please join me in reaching out to those in need or who are feeling isolated - we are all in this together.
Yesterday, we launched a brand new ad -- focusing on finding common-sense solutions the Montana way -- but we’re not stopping there.
Just today we launched another ad on finding common ground in Congress. Will you take a moment to watch it here?
Politics right now are divisive. I’ve worked my entire career to bridge such divides. Right now, honesty, independence and forward-thinking are sorely needed in D.C. and I’m ready to roll up my sleeves and get to work finding our common ground so we can move forward on solutions for Montana and our nation.
Will you help me make sure that every voter in Montana will see this ad and know that there is a candidate ready to fight for them in Congress?
We just need 243 more contributions to make sure we can run both of our brand new ads from now through the June primary. Pitch in today and let’s spread the word!
If you've saved your payment information with ActBlue Express, your donation will go through immediately:
$10 $25
$50 $100
$250 Other
Onwards,
Kathleen Williams
Kathleen Williams for Congress
Kathleen Williams is a fighter for Montana. She is running for Congress to fix our broken health care system, foster opportunity for all Montanans, and protect Montana's outdoor heritage.
CONTRIBUTE MONTHLY
To donate via mail, please send a contribution to PO BOX 548 BOZEMAN, MT 59771
Paid for by Kathleen Williams for Montana
This email was sent to [[EMAIL_REDACTED]]. Don't want to receive these emails anymore? Unsubscribe
Kathleen Williams, P.O. Box 548 Bozeman, MT 59771",Kathleen Williams,U.S. House Montana At-large District,Democratic Party,Federal,Congress,https://kathleenformontana.com/,12-02-2019,ballotpedia-campaign,,,,2020-05-08,11,Fri,907edec244529241380876b5ec3ab49f,08f13962c5b2090e32c902552a4ff634,No
Blake Thompson,teamwilliams@kathleenformontana.com,we’re rounding the corner,"We’re the closest we’ve ever been to reaching our goal, and our June 30th deadline. Will you help us round up the last $8,341 we need to close the boo
Kathleen Williams for Congress
Please be safe and follow CDC guidance during the coronavirus outbreak. As our country works through this difficult time, please join me in reaching out to those in need or who are feeling isolated - we are all in this together.
Team, this is it!
We’re the closest we’ve ever been to reaching our goal and our June 30th deadline. Will you help us round up the last $8,341 we need to close the books on our June public fundraising goal?
If you've saved your payment information with ActBlue Express, your donation will go through immediately:
$10 $25 $50
$100 $250 Other
There’s been highs and lows in our final fundraising drive of the second quarter, and we’re one massive fundraising day away from hitting our $30,000 goal.
If everyone reading this right now gave just $5, we would reach our goal tonight. But whether our campaign is taken seriously by far-right extremists, or if we’re swamped in dark money cash is all up to our small-dollar team.
We need everyone working together if we want to finish off this goal before tomorrow’s midnight deadline. Will I see your donation before I meet with Kathleen?
Thanks,
Blake Thompson
Finance Director
Kathleen Williams for Montana
Kathleen Williams is a fighter for Montana. She is running for Congress to fix our broken health care system, foster opportunity for all Montanans and protect Montana's outdoor heritage.
CONTRIBUTE MONTHLY
To donate via mail, please send a contribution to PO BOX 548 BOZEMAN, MT 59771
Paid for by Kathleen Williams for Montana
This email was sent to [[EMAIL_REDACTED]]. Don't want to receive these emails anymore? Unsubscribe
Kathleen Williams, P.O. Box 548 Bozeman, MT 59771",Kathleen Williams,U.S. House Montana At-large District,Democratic Party,Federal,Congress,https://kathleenformontana.com/,12-02-2019,ballotpedia-campaign,,,,2020-06-29,17,Mon,81046454397b4299893ff7f66049ff94,08f13962c5b2090e32c902552a4ff634,No
Montana HQ,teamwilliams@kathleenformontana.com,Just 4 more days,"The hours we have left to reach every voter before Montana's Democratic Primary are dwindling. Can we count on your $10 contribution to our $15,000 go
Kathleen Williams for Congress
Please be safe and follow CDC guidance during the coronavirus outbreak. As our country works through this difficult time, please join me in reaching out to those in need or who are feeling isolated - we are all in this together.
The hours we have left to reach every voter before Montana's Democratic Primary are dwindling. Can we count on your $10 contribution to our $15,000 goal before the primary in 4 days?
If you've saved your payment information with ActBlue Express, your donation will go through immediately:
$10 $25
$50 $100
$250 Other
These goals are important because they fund all the work we do digitally to meet Montanans -- especially when we can’t meet them in person.
We can’t jeopardize our resources by taking a back seat. We’re reaching out to every supporter we can to build our ability to keep our ads running and keep in touch with the communities that will carry us to Washington in November.
But our chances of making that possible disappear with any goal for which we fall short. Help us close out May strong by sending in $10 before Sunday’s deadline.
\- Montana HQ
Kathleen Williams is a fighter for Montana. She is running for Congress to fix our broken health care system, foster opportunity for all Montanans and protect Montana's outdoor heritage.
CONTRIBUTE MONTHLY
To donate via mail, please send a contribution to PO BOX 548 BOZEMAN, MT 59771
Paid for by Kathleen Williams for Montana
This email was sent to [[EMAIL_REDACTED]]. Don't want to receive these emails anymore? Unsubscribe
Kathleen Williams, P.O. Box 548 Bozeman, MT 59771",Kathleen Williams,U.S. House Montana At-large District,Democratic Party,Federal,Congress,https://kathleenformontana.com/,12-02-2019,ballotpedia-campaign,,,,2020-05-29,22,Fri,52d40b84bfd96f8386c3b70fd387d143,08f13962c5b2090e32c902552a4ff634,No
