,name,office_sought,party_affiliation,office_level,district_type,body_text,total_emails_sent,last_name,state,opponent,opponent_last_name,is_black
0,Aaron Godfrey,U.S. House Ohio District 16,Democratic Party,Federal,Congress,42.0,42.0,Godfrey,Ohio,Anthony Gonzalez,Gonzalez,False
1,Aaron Swisher,U.S. House Idaho District 2,Democratic Party,Federal,Congress,17.0,17.0,Swisher,Idaho,Michael K Simpson,Simpson,False
2,Abby Broyles,U.S. Senate Oklahoma,Democratic Party,Federal,State,306.0,306.0,Broyles,Oklahoma,Jim Inhofe ,Inhofe,False
3,Abigail Spanberger,U.S. House Virginia District 7,Democratic Party,Federal,Congress,478.0,478.0,Spanberger,Virginia,Nick J Freitas,Freitas,False
4,Adair Boroughs,U.S. House South Carolina District 2,Democratic Party,Federal,Congress,1090.0,1090.0,Boroughs,South Carolina,Joe Wilson,Wilson,False
5,Adam Christensen,U.S. House Florida District 3,Democratic Party,Federal,Congress,41.0,41.0,Christensen,Florida,Kat Cammack,Cammack,False
6,Adam Schiff,U.S. House California District 28,Democratic Party,Federal,Congress,38.0,38.0,Schiff,California,Eric Early,Early,False
7,Adrienne Bell,U.S. House Texas District 14,Democratic Party,Federal,Congress,99.0,99.0,Bell,Texas,Randy K Weber Sr,Sr,False
8,Al Green,U.S. House Texas District 9,Democratic Party,Federal,Congress,1256.0,1257.0,Green,Texas,Johnny Teague,Teague,False
9,Al Gross,U.S. Senate Alaska,Independent,Federal,State,287.0,287.0,Gross,Alaska,Dan Sullivan,Sullivan,False
10,Alaina Shearer,U.S. House Ohio District 12,Democratic Party,Federal,Congress,108.0,108.0,Shearer,Ohio,Troy Balderson,Balderson,False
11,Alan Cohn,U.S. House Florida District 15,Democratic Party,Federal,Congress,314.0,314.0,Cohn,Florida,Scott Franklin,Franklin,False
12,Alek Skarlatos,U.S. House Oregon District 4,Republican Party,Federal,Congress,4680.0,4680.0,Skarlatos,Oregon,Peter A Defazio,Defazio,False
13,Alexandra Owensby,U.S. House Kentucky District 4,Democratic Party,Federal,Congress,23.0,23.0,Owensby,Kentucky,Thomas Massie,Massie,False
14,Alexandria Ocasio-Cortez,U.S. House New York District 14,Democratic Party,Federal,Congress,329.0,329.0,Ocasio-Cortez,New York,John C Cummings,Cummings,False
15,Aliscia Andrews,U.S. House Virginia District 10,Republican Party,Federal,Congress,117.0,117.0,Andrews,Virginia,Jennifer Wexton,Wexton,False
16,Alma Adams,U.S. House North Carolina District 12,Democratic Party,Federal,Congress,40.0,40.0,Adams,North Carolina,none,none,False
17,Alyse Galvin,U.S. House Alaska At-large District,Democratic Party,Federal,Congress,248.0,248.0,Galvin,Alaska,Don Young,Young,False
