name,office_sought,party_affiliation,office_level,district_type,body_text,total_emails_sent
Aaron Godfrey,U.S. House Ohio District 16,Democratic Party,Federal,Congress,42,42
Aaron Swisher,U.S. House Idaho District 2,Democratic Party,Federal,Congress,17,17
Abby Broyles,U.S. Senate Oklahoma,Democratic Party,Federal,State,306,306
Abigail Spanberger,U.S. House Virginia District 7,Democratic Party,Federal,Congress,478,478
Adair Boroughs,U.S. House South Carolina District 2,Democratic Party,Federal,Congress,1090,1090
Adam Bolanos Scow,U.S. House California District 20,Democratic Party,Federal,Congress,22,22
Adam Christensen,U.S. House Florida District 3,Democratic Party,Federal,Congress,41,41
Adam Hattersley,U.S. House Florida District 15,Democratic Party,Federal,Congress,118,137
Adam Schiff,U.S. House California District 28,Democratic Party,Federal,Congress,38,38
Adrienne Bell,U.S. House Texas District 14,Democratic Party,Federal,Congress,99,99
Adrienne Bennett,U.S. House Maine District 2,Republican Party,Federal,Congress,59,59
Adrienne Vallejo Foster,U.S. House Kansas District 3,Republican Party,Federal,Congress,116,116
Al Green,U.S. House Texas District 9,Democratic Party,Federal,Congress,1256,1257
Al Gross,U.S. Senate Alaska,Independent,Federal,State,287,287
Alaina Shearer,U.S. House Ohio District 12,Democratic Party,Federal,Congress,108,108
Alan Cohn,U.S. House Florida District 15,Democratic Party,Federal,Congress,314,314
Albert Lee,U.S. House Oregon District 3,Democratic Party,Federal,Congress,29,29
Alek Skarlatos,U.S. House Oregon District 4,Republican Party,Federal,Congress,4680,4680
Alex Morse,U.S. House Massachusetts District 1,Democratic Party,Federal,Congress,262,262
Alexandra Owensby,U.S. House Kentucky District 4,Democratic Party,Federal,Congress,23,23
Alexandria Ocasio-Cortez,U.S. House New York District 14,Democratic Party,Federal,Congress,329,329
Aliscia Andrews,U.S. House Virginia District 10,Republican Party,Federal,Congress,117,117
Alisha Shelton,U.S. Senate Nebraska,Democratic Party,Federal,State,43,43
Allen Whitt,U.S. Senate West Virginia,Republican Party,Federal,State,40,40
Alma Adams,U.S. House North Carolina District 12,Democratic Party,Federal,Congress,40,40
Alp Basaran,U.S. House New Jersey District 9,Democratic Party,Federal,Congress,19,19
Alyse Galvin,U.S. House Alaska At-large District,Democratic Party,Federal,Congress,248,248
Amanda Edwards,U.S. Senate Texas,Democratic Party,Federal,State,196,196
Amanda Makki,U.S. House Florida District 13,Republican Party,Federal,Congress,34,34
Amanda Stuck,U.S. House Wisconsin District 8,Democratic Party,Federal,Congress,1042,1042
Amani Al-Khatahtbeh,U.S. House New Jersey District 6,Democratic Party,Federal,Congress,13,13
Amber Ivey,U.S. House Maryland District 7,Independent,Federal,Congress,11,11
Amy McGrath,U.S. Senate Kentucky,Democratic Party,Federal,State,270,270
Andom Ghebreghiorgis,U.S. House New York District 16,Democratic Party,Federal,Congress,33,33
Andrew Ferguson,U.S. House Georgia District 10,Democratic Party,Federal,Congress,11,11
Andrew Garbarino,U.S. House New York District 2,Serve America Movement Party,Federal,Congress,64,64
Andrew Kim,U.S. House New Jersey District 3,Democratic Party,Federal,Congress,184,184
Andrew Knaggs,U.S. House Virginia District 7,Republican Party,Federal,Congress,78,78
Andrew Meehan,U.S. House Pennsylvania District 1,Republican Party,Federal,Congress,52,52
Andrew Romanoff,U.S. Senate Colorado,Democratic Party,Federal,State,195,195
Andy Barr,U.S. House Kentucky District 6,Republican Party,Federal,Congress,76,76
Andy Biggs,U.S. House Arizona District 5,Republican Party,Federal,Congress,55,55
Andy Caldwell,U.S. House California District 24,Republican Party,Federal,Congress,21,21
Andy Ruff,U.S. House Indiana District 9,Democratic Party,Federal,Congress,46,46
Angie Craig,U.S. House Minnesota District 2,Democratic Party,Federal,Congress,319,320
Anita Malik,U.S. House Arizona District 6,Democratic Party,Federal,Congress,86,86
Ann Kirkpatrick,U.S. House Arizona District 2,Democratic Party,Federal,Congress,210,210
Ann Wagner,U.S. House Missouri District 2,Republican Party,Federal,Congress,241,241
"Anna Paulina ""Luna"" Gamberzky",U.S. House Florida District 13,Republican Party,Federal,Congress,49,49
Anne Marie Ward,U.S. House Arizona District 4,Republican Party,Federal,Congress,17,17
Annie Kuster,U.S. House New Hampshire District 2,Democratic Party,Federal,Congress,276,276
Anthony Brindisi,U.S. House New York District 22,Democratic Party,Federal,Congress,509,513
Anthony Brown,U.S. House Maryland District 4,Democratic Party,Federal,Congress,23,23
Antone Melton-Meaux,U.S. House Minnesota District 5,Democratic Party,Federal,Congress,44,44
Antonio Delgado,U.S. House New York District 19,Democratic Party,Federal,Congress,154,154
Arati Kreibich,U.S. House New Jersey District 5,Democratic Party,Federal,Congress,231,231
Ashley Hinson,U.S. House Iowa District 1,Republican Party,Federal,Congress,197,197
Audrey Denney,U.S. House California District 1,Democratic Party,Federal,Congress,292,292
August Pfluger,U.S. House Texas District 11,Republican Party,Federal,Congress,14,14
Bangar Reddy,U.S. House Texas District 22,Republican Party,Federal,Congress,18,18
Barbara Bollier,U.S. Senate Kansas,Democratic Party,Federal,State,1842,1842
Barbara Ramsey,U.S. House Nebraska District 1,Democratic Party,Federal,Congress,41,41
Becky Grossman,U.S. House Massachusetts District 4,Democratic Party,Federal,Congress,305,305
Ben Loyola,U.S. House Virginia District 2,Republican Party,Federal,Congress,66,66
Ben McAdams,U.S. House Utah District 4,Democratic Party,Federal,Congress,154,154
Ben Ray Lujan,U.S. Senate New Mexico,Democratic Party,Federal,State,459,459
Ben Sasse,U.S. Senate Nebraska,Republican Party,Federal,State,40,40
Ben Sigel,U.S. House Massachusetts District 4,Democratic Party,Federal,Congress,55,55
Beth Doglio,U.S. House Washington District 10,Democratic Party,Federal,Congress,1810,1810
Beth Henderson,U.S. House Indiana District 5,Republican Party,Federal,Congress,14,14
Beth Van Duyne,U.S. House Texas District 24,Republican Party,Federal,Congress,130,130
Bill Clifford,U.S. House Kansas District 1,Republican Party,Federal,Congress,11,11
Bill Hagerty,U.S. Senate Tennessee,Republican Party,Federal,State,205,205
Bill Hightower,U.S. House Alabama District 1,Republican Party,Federal,Congress,97,97
Bill Olson,U.S. House Florida District 9,Republican Party,Federal,Congress,100,100
Blair Walsingham,U.S. House Tennessee District 1,Democratic Party,Federal,Congress,27,27
Bob Hamilton,U.S. Senate Kansas,Republican Party,Federal,State,18,18
Bob Patterson,U.S. House New Jersey District 2,Republican Party,Federal,Congress,19,19
Brad Schneider,U.S. House Illinois District 10,Democratic Party,Federal,Congress,257,257
Brad Wenstrup,U.S. House Ohio District 2,Republican Party,Federal,Congress,54,54
Brandon Batch,U.S. House Texas District 11,Republican Party,Federal,Congress,12,12
Brenda Lopez Romero,U.S. House Georgia District 7,Democratic Party,Federal,Congress,183,183
Bret Richards,U.S. House Iowa District 4,Republican Party,Federal,Congress,33,33
Brian Babin,U.S. House Texas District 36,Republican Party,Federal,Congress,35,35
Brian Burley,U.S. House California District 48,Republican Party,Federal,Congress,17,17
Brian Fitzpatrick,U.S. House Pennsylvania District 1,Republican Party,Federal,Congress,112,112
Brian Maryott,U.S. House California District 49,Republican Party,Federal,Congress,231,231
Brian Mast,U.S. House Florida District 18,Republican Party,Federal,Congress,337,337
Brianna Wu,U.S. House Massachusetts District 8,Democratic Party,Federal,Congress,57,57
Brigid Callahan Harrison,U.S. House New Jersey District 2,Democratic Party,Federal,Congress,1527,1527
Bryan Berghoef,U.S. House Michigan District 2,Democratic Party,Federal,Congress,216,216
"Bryant ""Corky"" Messner",U.S. Senate New Hampshire,Republican Party,Federal,State,208,208
Brynne Kennedy,U.S. House California District 4,Democratic Party,Federal,Congress,2692,2901
Cal Cunningham,U.S. Senate North Carolina,Democratic Party,Federal,State,177,177
Candace Valenzuela,U.S. House Texas District 24,Democratic Party,Federal,Congress,1163,1163
Carl Beach,U.S. House Wyoming At-large District,Democratic Party,Federal,Congress,13,13
Carlos Gimenez,U.S. House Florida District 26,Republican Party,Federal,Congress,120,120
Carolyn Maloney,U.S. House New York District 12,Democratic Party,Federal,Congress,290,290
Carolyn Bourdeaux,U.S. House Georgia District 7,Democratic Party,Federal,Congress,306,306
Catalina Lauf,U.S. House Illinois District 14,Republican Party,Federal,Congress,38,38
Celeste Williams,U.S. House Arkansas District 3,Democratic Party,Federal,Congress,423,423
Cenk Uygur,U.S. House California District 25,Democratic Party,Federal,Congress,154,154
Charles Booker,U.S. Senate Kentucky,Democratic Party,Federal,State,265,265
Charles Navarro,U.S. House Nevada District 4,Republican Party,Federal,Congress,16,16
Charles Winn,U.S. House Colorado District 2,Republican Party,Federal,Congress,31,31
Chele Farley,U.S. House New York District 18,Republican Party,Federal,Congress,108,108
Chellie Pingree,U.S. House Maine District 1,Democratic Party,Federal,Congress,32,32
Chip Coldiron,U.S. House Indiana District 3,Democratic Party,Federal,Congress,70,70
Chip Roy,U.S. House Texas District 21,Republican Party,Federal,Congress,320,320
Chivona Newsome,U.S. House New York District 15,Democratic Party,Federal,Congress,16,16
Christine Bubser,U.S. House California District 8,Democratic Party,Federal,Congress,262,262
Chris Coons,U.S. Senate Delaware,Democratic Party,Federal,State,94,94
Chris Janicek,U.S. Senate Nebraska,Democratic Party,Federal,State,41,42
Chris Palombi,U.S. House Maryland District 5,Republican Party,Federal,Congress,40,40
Chris Pappas,U.S. House New Hampshire District 1,Democratic Party,Federal,Congress,241,241
Chris Putnam,U.S. House Texas District 12,Republican Party,Federal,Congress,29,29
Chris Stewart,U.S. House Utah District 2,Republican Party,Federal,Congress,32,32
Chris Zannetos,U.S. House Massachusetts District 4,Democratic Party,Federal,Congress,14,14
Christina Finello,U.S. House Pennsylvania District 1,Democratic Party,Federal,Congress,1764,1764
Christina Hagan,U.S. House Ohio District 13,Republican Party,Federal,Congress,47,47
Christina Hale,U.S. House Indiana District 5,Democratic Party,Federal,Congress,265,267
Christopher Armitage,U.S. House Washington District 5,Democratic Party,Federal,Congress,78,78
Christopher Hale,U.S. House Tennessee District 4,Democratic Party,Federal,Congress,110,110
Chris Jacobs,U.S. House New York District 27,Republican Party,Federal,Congress,156,156
Christy Smith,U.S. House California District 25,Democratic Party,Federal,Congress,205,205
Chuck Dietzen,U.S. House Indiana District 5,Republican Party,Federal,Congress,47,47
Cindy Axne,U.S. House Iowa District 3,Democratic Party,Federal,Congress,1429,1429
Cindy Banyai,U.S. House Florida District 19,Democratic Party,Federal,Congress,119,119
Cindy Grosz,U.S. House New York District 4,Republican Party,Federal,Congress,11,11
Claire Chase,U.S. House New Mexico District 2,Republican Party,Federal,Congress,35,35
Claire Russo,U.S. House Virginia District 5,Democratic Party,Federal,Congress,109,109
Claudia Tenney,U.S. House New York District 22,Republican Party,Federal,Congress,191,191
Cliff Bentz,U.S. House Oregon District 2,Republican Party,Federal,Congress,13,13
Clint Koble,U.S. House Nevada District 2,Democratic Party,Federal,Congress,119,119
Cora Neumann,U.S. Senate Montana,Democratic Party,Federal,State,296,296
Cori Bush,U.S. House Missouri District 1,Democratic Party,Federal,Congress,99,99
Cory Booker,U.S. Senate New Jersey,Democratic Party,Federal,State,242,242
Cristina Tzintzún Ramirez,U.S. Senate Texas,Democratic Party,Federal,State,169,169
Dale Crafts,U.S. House Maine District 2,Republican Party,Federal,Congress,159,159
Dan Ahlers,U.S. Senate South Dakota,Democratic Party,Federal,State,56,56
Dan Bishop,U.S. House North Carolina District 9,Republican Party,Federal,Congress,32,32
Dan Feehan,U.S. House Minnesota District 1,Democratic Party,Federal,Congress,294,294
Dan Kildee,U.S. House Michigan District 5,Democratic Party,Federal,Congress,206,206
Dan Meuser,U.S. House Pennsylvania District 9,Republican Party,Federal,Congress,65,65
Dana Alan Ferguson,U.S. House Michigan District 1,Democratic Party,Federal,Congress,125,125
Dana Balter,U.S. House New York District 24,Democratic Party,Federal,Congress,340,340
Dana Barrett,U.S. House Georgia District 11,Democratic Party,Federal,Congress,120,120
Dana Cottrell,U.S. House Florida District 11,Democratic Party,Federal,Congress,15,15
