year,state,state_po,state_fips,state_cen,state_ic,office,district,stage,special,candidate,party_detailed,writein,mode,candidatevotes,totalvotes,unofficial,version,party_simplified
2020,ALABAMA,AL,1,63,41,US SENATE,statewide,gen,FALSE,DOUG JONES,DEMOCRAT,FALSE,total,920478,2316445,FALSE,20210114,DEMOCRAT
2020,ALABAMA,AL,1,63,41,US SENATE,statewide,gen,FALSE,TOMMY TUBERVILLE,REPUBLICAN,FALSE,total,1392076,2316445,FALSE,20210114,REPUBLICAN
2020,ALABAMA,AL,1,63,41,US SENATE,statewide,gen,FALSE,,,TRUE,total,3891,2316445,FALSE,20210114,OTHER
2020,ALASKA,AK,2,94,81,US SENATE,statewide,gen,FALSE,AL GROSS,DEMOCRAT,FALSE,total,146068,354587,FALSE,20210114,DEMOCRAT
2020,ALASKA,AK,2,94,81,US SENATE,statewide,gen,FALSE,JOHN WAYNE HOWE,ALASKAN INDEPENDENCE PARTY,FALSE,total,16806,354587,FALSE,20210114,OTHER
2020,ALASKA,AK,2,94,81,US SENATE,statewide,gen,FALSE,DAN SULLIVAN,REPUBLICAN,FALSE,total,191112,354587,FALSE,20210114,REPUBLICAN
2020,ALASKA,AK,2,94,81,US SENATE,statewide,gen,FALSE,,,TRUE,total,601,354587,FALSE,20210114,OTHER
2020,ARIZONA,AZ,4,86,61,US SENATE,statewide,gen,TRUE,EDWARD DAVIDA,REPUBLICAN,TRUE,total,28,3355307,FALSE,20210114,REPUBLICAN
2020,ARIZONA,AZ,4,86,61,US SENATE,statewide,gen,TRUE,MARTHA MCSALLY,REPUBLICAN,FALSE,total,1637661,3355307,FALSE,20210114,REPUBLICAN
2020,ARIZONA,AZ,4,86,61,US SENATE,statewide,gen,TRUE,JOHN SCHIESS,REPUBLICAN,TRUE,total,92,3355307,FALSE,20210114,REPUBLICAN
2020,ARIZONA,AZ,4,86,61,US SENATE,statewide,gen,TRUE,DEBBIE SIMMONS,REPUBLICAN,TRUE,total,98,3355307,FALSE,20210114,REPUBLICAN
2020,ARIZONA,AZ,4,86,61,US SENATE,statewide,gen,TRUE,"PATRICK ""PAT"" THOMAS",REPUBLICAN,TRUE,total,29,3355307,FALSE,20210114,REPUBLICAN
2020,ARIZONA,AZ,4,86,61,US SENATE,statewide,gen,TRUE,"MOHAMMAD ""MIKE OBAMA"" ARIF",DEMOCRAT,TRUE,total,68,3355307,FALSE,20210114,DEMOCRAT
2020,ARIZONA,AZ,4,86,61,US SENATE,statewide,gen,TRUE,PERRY KAPADIA,DEMOCRAT,TRUE,total,58,3355307,FALSE,20210114,DEMOCRAT
2020,ARIZONA,AZ,4,86,61,US SENATE,statewide,gen,TRUE,ADAM CHILTON,DEMOCRAT,TRUE,total,19,3355307,FALSE,20210114,DEMOCRAT
2020,ARIZONA,AZ,4,86,61,US SENATE,statewide,gen,TRUE,MARK KELLY,DEMOCRAT,FALSE,total,1716467,3355307,FALSE,20210114,DEMOCRAT
2020,ARIZONA,AZ,4,86,61,US SENATE,statewide,gen,TRUE,BUZZ STEWART,DEMOCRAT,TRUE,total,22,3355307,FALSE,20210114,DEMOCRAT
2020,ARIZONA,AZ,4,86,61,US SENATE,statewide,gen,TRUE,"MATTHEW ""DOC"" DORCHESTER",LIBERTARIAN,TRUE,total,379,3355307,FALSE,20210114,LIBERTARIAN
2020,ARIZONA,AZ,4,86,61,US SENATE,statewide,gen,TRUE,CHRISTOPHER BECKETT,INDEPENDENT,TRUE,total,59,3355307,FALSE,20210114,OTHER
2020,ARIZONA,AZ,4,86,61,US SENATE,statewide,gen,TRUE,"WILLIAM ""WILL"" DECKER",INDEPENDENT,TRUE,total,21,3355307,FALSE,20210114,OTHER
2020,ARIZONA,AZ,4,86,61,US SENATE,statewide,gen,TRUE,NICHOLAS N. GLENN,INDEPENDENT REPUBLICAN PARTY,TRUE,total,152,3355307,FALSE,20210114,OTHER
