,body_text,uid_email
0,"Your Power is Growing! Don't Stop Now!
####
# Primary Season is Over in the 4th!
### Help Me Reach My End of The Month Goal!
Dear Patriot,
If you haven’t gotten my messages, I’m Leon Benjamin—a black conservative pastor, veteran, a surrogate for President Trump, and I’m an unapologetic Conservative!
I am running against Socialist gun-grabber Donald McEachin, who stands alongside Racist Joe Biden, in Virginia’s 4th District!
We have an urgent fundraising deadline less than a week away!
At the end of the month, the fundraising quarter will end and we need to give a strong showing to demonstrate our legitimacy as a campaign!
Will you help me hit my goal?
Please donate today and help me get over the line!
*YES, I WILL HELP YOU MEET YOUR GOAL*
I was born and raised in district in Richmond, Virginia.
Richmond has always been my home and its where I am raising my two wonderful kids with my wife of 28 years, Maria.
When our country went to war in the Persian Gulf War, my country needed me. As a Navy reservist, I was deployed to fight for freedom. I served on the USS John F. Kennedy.
Many brave men and women put their lives on the line beside me in service to our country. Our freedom was won by the blood of patriots.
Freedom is never free.
After I got home, the Lord called me into the ministry.
I’ve pastored a church here in Richmond for more than a decade. God has called me to serve the people of Richmond.
I’ve also had the honor of representing the President as a minority surrogate, arguing for the President’s agenda on Fox News and other cable news outlets.
I’ve always been a strong supporter of the President!
Socialist McEachin is nothing but a rabid anti-Trumper trying to undermine him at all costs! He doesn’t care about his district.
I’ve watched as Democrats take the black vote for granted and time and time again pass over our inner-city communities. The only time they remotely care is when it’s election time.
Black lives don’t matter to them. Black votes matter.
That’s all I am to Racist Joe Biden.
That’s why God called me to run for Congress! We need true conservative leadership in Washington!
We need someone who will fight for OUR values!
Will you help me beat Socialist McEachin?
Please donate today to my campaign and help me stop Socialism!
*STOP SOCIALISM!*
This country is burning as Socialists are attempting a full-scale insurrection! And Socialists like McEachin are fanning the flames!
In Seattle, Leftist terrorists occupied six city blocks and declared they seceded from the United States to establish their own communist state!
The Leftist mayor of Seattle turned tail and ran! She ordered police to stand down and let them have the precinct! Now, they’ve erected walls!
They built a wall, are violently enforcing border security, screening everyone coming in and out with ID checks, and have armed guards with AR-15s and AK-47s patrolling the wall!
These same communists were screaming racist because Trump wanted a strong border with Mexico—and they’ve gone and done the same thing.
These Leftists are also terrorizing their own people. They are exhorting businesses, beating anyone up that doesn’t agree with them, and are violently enforcing their own laws:
The official also added that leaders in the anti-cop zone are ""starting to extort money from the local businesses within the border for 'protection.'""
Rapper Raz Simone also declared himself warlord. This is a full-scale Marxist dystopia ruled by a violent warlord and armed guards!
Now, crimes are being committed left and right in the autonomous zone and the police have not been allowed access inside to get to these calls:
“Our calls for service have more than tripled,” she told reporters. “These are responses to emergency calls — rapes, robberies, and all sorts of violent acts that have been occurring in the area that we’re not able to get to.”
There have been two shootings in the last 48 hours alone in the autonomous zone! This is what the world looks like without cops!
We need our police and this Leftist scum are trying to completely abolish them!
I will stand with President Trump for our law enforcement and against this insanity!
Will you help me?
Please donate today and send a conservative warrior that will always Back the Blue!
*BACK THE BLUE!*
Now, other cities are trying to overthrow our police and spread this Socialist insurrection!
In Washington DC, protestors tried to form an autonomous zone and pull down a statue of Andrew Jackson!
In my native Richmond, the Lee statue has become a hotspot of armed, violent protestors to gather! They’ve started trying to make barricades with cars around the statues!
This is just disgusting and needs to be stopped immediately!
Governor Blackface Northam has YET to address this! He and Socialist McEachin are looking the other way at this sickening violence and just pretending it isn’t happening!
They don’t care about black lives. Dozens of black police officers have been killed and wounded across America by leftist terrorists and anarchists! Not a single Democrat said a word.
Hundreds of black men and women have been shot in the last few weeks in Chicago and Baltimore. Not a single word of condemnation.
Here in Richmond, our black community is victimized by drug and gang violence. And the entire police force has to fight a bunch of rioters every night as black men and women die!
These Socialist Democrats don’t care about black lives: all they care about are black votes. They are fanning the flames of violence and watching America burn to the ground—all so they can win an election!
This is disgusting and evil!
Our Richmond police headquarters was attacked by an armed gang that threw bombs, bottles, and bricks at police! They attempted to burn down the HQ. Luckily, our police stood their ground.
Meanwhile, our Leftist mayor had his apartment complex broken into by a crowd of protestors! And he had an army of private security to force them out!
What a disgusting hypocrite! He wants to disarm us, take away all police, and hires private security?!
It’s time to kick these hypocrites out of office!
Help me take back this district from Socialist McEachin! Donate today and help me win!
STOP SOCIALISM!*
The end of the fundraising quarter is at the end of month! We have less than a week to hit our fundraising goal!
We are trying to raise $30,000 dollars! So far, we’ve raised $27,563!
We’re so close! Can you help push us over the edge?
Please donate today and help me take back our country!
*DONATE $25*
*DONATE $50*
*DONATE $75*
*DONATE $100*
*DONATE $250*
*DONATE $500*
*DONATE $1,000*
*DONATE $2,800*
With your help, we will take back this District!
Thank you for all of your support and prayers!
God Bless,
Leon Benjamin
Black Conservative Pastor
US Navy Combat Veteran
Husband and Father
Patriot
Facebook
Twitter
Link
Website
Copyright © 2020 [[URL REDACTED]], All rights reserved.
You are receiving this email because you opted in via our website.
Our mailing address is:
[[URL REDACTED]]
P.O. Box 13001
Richmond, Virginia 23225
Add us to your address book
Want to change how you receive these emails?
You can update your preferences or unsubscribe from this list.
Email Marketing Powered by Mailchimp",5b7d6ebef9442b5f19e01db1a7de4fbd
1,"You don't want to miss this.
Securing the Border from Your Hometown
Published on February 2, 2020
Joe Walz
U.S. House of Representatives Texas CD-22 Candidate
There is no doubt in my mind or in the laws of physics that a wall is an effective method of preventing someone or something from going from point A to point B.
What else do we need to fund? What other programs need reform or abolishment? One of the biggest ways to stop chain migration and remove the proverbial carrot would be to stop birth-right citizenship and maternity tourism. These things subvert the intent of our federal immigration laws and I will fight to stop them.
Technology exists to significantly reduce the burden on our men and women at Customs and Border Patrol. We need to equip the USCBP with these forms of deterrent and detection. That all helps, but what if your Sheriff could start removing illegal immigrants him or herself?
I present to you the Immigration and Customs Enforcement 287g Program. U.S. Immigration and Customs Enforcement (ICE) 287(g) Program enhances the safety and security of communities by creating partnerships with state and local law enforcement agencies to identify and remove aliens who are amenable to removal from the United States.
Put simply, the 287g program gives a law enforcement agency the equipment and authorizations to interview immigrants, check Department of Homeland Security databases, issue detainers to hold individuals until ICE takes custody, enter information into the ICE case management system, and issue the Notice to Appear – the first steps required for removal.
A Sheriff could literally start the deportation process from within his jail. A proactive Sheriff could even arrange a voluntary removal, to include arranging transportation back to home country for the individual. Sheriff Louderback of Jackson County, Texas has enrolled his county and doubles down by giving presentations on the program to various groups like the one Fort Bend Republican Patriots Club received from him a few years ago. Perhaps that’s why Sheriff Louderback is often seen with President Donald Trump in The White House.
Sheriffs that are opposed to 287g use inflated figures and fictional numbers to make it seem like not enrolling in the program has its merits in fiscal responsibility. These notions could not be further from the truth. The cost of illegal immigrant crimes, societal costs, and the damage done to families victimized by criminal illegal aliens far outweigh the costs presented by soft on immigration Sheriffs.
My county Sheriff briefed his constituents at multiple events that he was not going to participate. He stood by and played a video he produced - instead of telling the people directly what his intent was and why. Look at the examples below, both deported after being detained by a law enforcement office enrolled in 287g.
New Jersey – On May 23, 2019, a Designated Immigration Officer from the Monmouth County, NJ 287(g) Program encountered a citizen of Mexico charged with luring-enticing a child, sex assault victim under 13, lewdness, endangering-sexual conduct with a child. The subject entered the United States on an unknown date and location without inspection. The Monmouth County 287(g) Program placed an immigration detainer, Form I-247A, and warrant on the subject who will be served a Notice to Appear.
South Carolina – On March 13, 2019, a Designated Immigration Officer from the Charleston County, SC Sheriff’s Office 287(g) Program encountered a citizen of Mexico who was charged with criminal sexual conduct with a minor second degree – victim 11 to 14 years of age. The individual had previously been removed. The Charleston County 287(g) Program placed an immigration detainer, Form I-247A, and warrant on the subject who will be served with a Notice of Intent/Decision to Reinstate Prior Order.
The State of Texas tasks elected Sheriffs with the duty to uphold public safety within their county. When every other Republican Sheriff in the vicinity of Fort Bend County is participating, one must ask how is it that these smaller counties with less revenue and less illegal immigrant crime are able to participate. I am not lost as to why the democrat Sheriffs are not participating. That is what makes the GOP known for being tough on illegal immigration. We as a party tend to be more proactive and less sympathetic to the illegal, and more concerned with the welfare of citizens and LEGAL immigrants we serve.
This would serve as a proactive manner of dealing with human trafficking and drug trafficking occurring right here in Fort Bend. If the families only knew that there was a way those things could have been prevented from within our own county’s departments.
No new officers must be hired. Immigrations and Customs Enforcement pays a major portion of the detention cost. Statistics from counties like Gwinnett County, Georgia saw a long-term reduction in average daily jail population directly correlating with their 287g participation. That long-term savings is how you judge whether a program is fiscally sensible or not. Business-minded folks know, sometimes you must spend a little money to make money. 287g fits this model perfectly. For the costs of travel and hotels, a Sheriff could reduce his long-term average jail population. There’s the nugget of gold. Not to mention, the enhancement of public safety in the jurisdiction.
As the Representative for Texas’ 22nd District in 2020 – I will assist our new Sheriff by filling the gap between the cost to house an inmate and what ICE reimburses the jail. Nullifying that excuse could encourage thousands of agencies to participate. Keeping in mind there may be some work for the jails to work to reduce that cost per day figure as well.
Committee to Elect Joe Walz | 1115 Honey Rose Ct, Richmond, TX 77406
Unsubscribe [[EMAIL_REDACTED]]
Update Profile | About Constant Contact
Sent by [[URL REDACTED]] in collaboration with
Trusted Email from Constant Contact - Try it FREE today.
Try email marketing for free today!",e1df1228075e229ab349c95800350158
2,"For months, Donald Trump downplayed the risk of the global health pandemic, and now he's desperate to find someone to blame...
""Trump move to end WHO funding amid coronavirus fight criticized""
–NBC News, April 15
Alex –
First it was the media.
Then it was Democratic governors.
Now, it's the World Health Organization.
For months, Donald Trump downplayed the risk of the global health pandemic – even calling the whole thing Democrats' ""new hoax"" at rallies – as he ignored briefings telling him to prepare for the worst.
Now, he's desperately looking for someone to blame for his failure to act – and his latest move is to cut $400 MILLION from the World Health Organization, right in the middle of the pandemic.
This is absolutely enraging, Alex: We CANNOT give Trump and his state Republican enablers a pass for yet again endangering millions of Americans' health by cutting funding to the only global organization capable of responding to this pandemic.
Alex, we need your voice urgently: Speak out now and DEMAND that Congress reverse Trump's order and restore funding for the W.H.O. >>
ADD MY NAME →
Prominent voices are already joining this call. Bill Gates says Trump's decision is ""as dangerous as it sounds"" because if the W.H.O.'s work on coronavirus is cut back, ""no other organization can replace them.""
The editor-in-chief of The Lancet, a prominent medical journal, went even further – calling the funding cuts ""a crime against humanity"" and warning that ""every scientist, every health worker, every citizen must resist and rebel against this appalling betrayal of global solidarity.""
There's no way to sugarcoat this: Lives will be lost if we turn our backs on science and let Trump's business-as-usual prevail. That's why we have to mobilize and reject Trump's W.H.O. cuts now.
Speak out IMMEDIATELY to urge Congress to reject Trump's W.H.O. cuts, before his incompetence gets even more Americans killed >>
Thanks,
DLCC Team
DONATE
Democratic Legislative Campaign Committee
1225 Eye Street NW Suite 1250, Washington, DC 20005
Not authorized by any candidate or candidate's committee.
Contributions or gifts to the DLCC are not tax deductible.
The Democratic Legislative Campaign Committee and Grassroots Victory PAC are dedicated to winning and defending Democratic majorities in state legislatures across the country. This message was sent to [[EMAIL_REDACTED]] because you are a part of our grassroots network.
Emails are a crucial way to stay in touch with our supporters. Please add us to your address book or safe senders list to ensure timely election updates.
We're fighting to elect Democrats and advance a progressive vision in the states. Our success depends on grassroots donors like you. Ninety-eight percent of our donors give less than $200, and two-thirds give less than $20. To make a contribution, please click here. To unsubscribe and stop receiving emails about our efforts, please click here.",684eb639bc7583921a354f94408be268
3,"Are you and I ""pro-crime?"" Let me explain what Parson's PAC is saying in a new wave of attacks filled with shocking and obvious lies.
# Nicole Galloway for Missouri
Earlier today, Parson's PAC launched a new wave of attacks filled with shocking and obvious lies, like accusing me and supporters like you of being ""pro-crime.""
I won't dignify these offensive and false attacks with a response. But I will tell you what it says about this race: The status quo is running scared.
In a moment, I'll ask you for your help to fight back — but first, let me explain.
On Governor Parson's watch, everyday families have struggled with rising healthcare costs, underfunded schools and fewer opportunities — all while insiders and mega-donors have been raking in favors and kickbacks. When I'm governor, that all comes to an end — and the folks in power know it.
When we launched this campaign, early polls had us down against Parson by double digits. Now more than a year, multiple fundraising records, and millions of calls and texts later, our grassroots movement has made Missouri a battleground state. The billionaires and special interests are spinning up outrageous lies every week because they're panicking — as they should be.
As Auditor, I've been the taxpayers’ independent watchdog. I've uncovered more than $370 million in wasted or stolen taxpayer money and brought more than 60 criminal counts against corrupt public officials from both political parties. When I say I'll end their culture of corruption, they know it's no BS — that's why I'm running to defeat Mike Parson, and it's why I'm asking for your support today:
Will you add a donation of $5 or whatever you can to my campaign so we can set the record straight for undecided voters before Election Day? We can’t settle for a bought-and-paid-for system any longer — not during this pandemic and not for what comes next — so your donation right now is critical.
Thanks for making a difference when it matters most,
Nicole
If you've saved your payment information with ActBlue Express, your donation will go through immediately:
Chip in $10 now ➞
Chip in $25 now ➞
Chip in $100 now ➞
Chip in $200 now ➞
Another amount ➞
Paid For By Nicole Galloway For Missouri, Nancy Wilson, Treasurer
Nicole Galloway for Missouri
PO Box 2115
St. Louis, MO 63158
United States
unsubscribe",2d6710318e99ee8df523077f970ea45d
4,"░░░░░ ██░░░░░░░ ██░░░░░░░░░ ██░░░░░░░░░ ██░░░░░░░░ ██░░░░░░░░ ██░░░░░░░░░░
25,OOO SIGNATURES NEEDED: Sign on to DEMAND Trump Release his Tax Returns →
SIGN MY NAME NOW ➞
* * *
Here’s the good (okay, AWESOME) news:
The Supreme Court just ruled that the Manhattan District Attorney can obtain Trump's tax returns (YES!!)
""Supreme Court says Manhattan DA can get Trump’s tax records""
\-- CNBC
But here’s the bad (okay, TERRIBLE) news:
Trump is scrambling to keep his tax returns a secret -- we need to stop him!
The public DESERVES to know what Trump’s hiding. So we’re taking action.
Join an army of 24,999 other good Democrats to DEMAND Trump release his tax returns →
SIGN MY NAME NOW ➞
Donald Trump has kept his finances a secret for DECADES.
He knows if the public discovers them, his crimes will be exposed — and he’ll be instantly VOTED OUT this November.
We must hold Trump accountable. Sign now to release Trump’s tax returns →
SIGN MY NAME NOW ➞
Thanks so much,
Congressional Black Caucus PAC
This message was sent to: [[EMAIL_REDACTED]]
Click here to receive fewer emails. | Click here to unsubscribe.
CONGRESSIONAL BLACK CAUCUS PAC
455 Massachusetts Ave., NW #150-355
Washington DC 20001
Paid for and Authorized by the Congressional Black Caucus PAC
This message was sent to: [[EMAIL_REDACTED]] | Change or update your email address by clicking here.
The Congressional Black Caucus works to increase the number of African Americans in the U.S. Congress, support non-Black candidates that champion our interests, and promote African American participation in the political process.
We’re committed to getting African Americans and non-Black allies elected to the highest positions in Congress and activated at the polls to advance issues that matter in our communities.
By joining this grassroots movement, you are helping uplift African Americans in the political process. Our campaign is powered by supporters like you. Your grassroots support is critical to combating the Trump Administration and promoting African American participation in the political process. If you'd like to donate to our campaign, please click here.
Donate $5 immediately →
We believe that emails are a crucial way for our campaign to stay in touch with supporters like you. However, if you'd prefer to receive fewer emails, you can click here. If you would like to unsubscribe, click here. From the entire Congressional Black Caucus PAC team, thank you for your support!",07bee2af4c84f85504346197179aa084
5,"it's time for him to answer for his actions.
BREAKING NOW:
House Democrats are opening an investigation of Postmaster General Louis DeJoy - Washington Post
Democrats just launched an official investigation into Trump’s Postmaster General, Louis DeJoy, for felonies he may have committed.
But Donald Trump is sending the best legal team to defend DeJoy.
We can’t let DeJoy wriggle out of this!
So we need 50,000 voters to sign our petition by MIDNIGHT to support the investigation.
Stand with House Democrats:
SIGN NOW TO SUPPORT THE INVESTIGATION INTO LOUIS DEJOY >>>
SIGN MY NAME →
This is monumental. Donald Trump and Louis DeJoy have been scheming for MONTHS to destroy the USPS.
So now House Democrats are finally putting an end to this chaos and launching an investigation into potential crimes committed by DeJoy.
But Democrats need the support of Florida voters. Will you sign on now to help out the investigation??
SIGN NOW TO SUPPORT THE OFFICIAL INVESTIGATION:
SIGN MY NAME →
[[URL REDACTED]]
This is important,
\-- Equality Democrats
This message was sent to: [[EMAIL_REDACTED]]
Click here to receive fewer emails. | Click here to unsubscribe.
Equality PAC
Thank you for being a dedicated supporter of Equality Democrats. We’re the grassroots operation behind the Congressional LGBT+ Equality Caucus.
We’re working day and night to fight for our progressive agenda:
◈ To DEFEAT bigoted Republicans ◈
◈ To ELECT Pro-LGBT+ champions ◈
◈ To END Homophobia in our government  ◈
DONATE TO EQUALITY DEMOCRATS →
We’ve got a tall task ahead of us…
President Obama: This November's election is more important than any other I can remember in my lifetime...
President Obama is SO right. And that’s why we email you so often -- your grassroots support is what’s going to drive us to victory in November.
Without you, we’ll fail and Donald Trump will
win again. We can’t let that happen!
DONATE TO EQUALITY DEMOCRATS →
Unlike Trump and his Republicans, we rely on the power of grassroots donors. Our average online donation is $10.63. And every cent we raise goes towards defeating Trump and electing pro-gay Democrats.
Emails like this one are crucial to winning this year. But we know you receive a lot of emails in your inbox, so if you’d like to receive fewer emails from us, you can  click here. If you’d like to unsubscribe from our emails, you can  click here. If you’d like to support our mission to elect Equality Democrats, you can chip in and  click here.
DONATE TO EQUALITY DEMOCRATS →
From all of us at Equality Democrats -- thank YOU for your continued support.
* * *
PAID FOR BY EQUALITY PAC AND NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE'S COMMITTEE.
Equality PAC
P.O. Box 15337
Washington, D.C. 20003",d2b185dfd93a6621e42d4e2e11d5186a
6,"President Trump needs you.
Trump Pence Keep America Great
Alex,
The Election this November will go down as the most important Election in American history.
On November, 3rd, the American People will decide if we’re going to Keep America Great, or if America will become a Big Government Socialist Nation of high taxes, high crime, blatant corruption, and open borders.
It’s no secret that this fight is going to be tough. It’s going to take all hands on deck to defeat Sleepy Joe Biden, which is why President Trump needs every single Patriot to step up and fight back.
Your support will provide the necessary resources to help us WIN BIG in November and ultimately secure FOUR MORE YEARS of President Trump.
There’s never been a better time to make your first ever donation, Alex. The future of our Nation depends on you.
Please make your first-ever contribution of ANY AMOUNT by 11:59 PM TONIGHT to fight for your President. >>
KEEP AMERICA GREAT
EMAIL: [[EMAIL_REDACTED]]
ACCOUNT NUMBER: 34004560 - 2020
DEADLINE: 3 HOURS
CONTRIBUTION: MISSING
CONTRIBUTE $5
CONTRIBUTE $20
CONTRIBUTE $15
CONTRIBUTE $10
CONTRIBUTE $5
CONTRIBUTE ANY AMOUNT
When we win, it will be because of Patriots like YOU who stepped up to fight for their future.
President Trump wants to know who stepped up today, so we’re sending him an updated list of First-Time Donors in 3 HOURS. We know he’ll be looking for your name.
Make your first-ever contribution of ANY AMOUNT in the NEXT 3 HOURS to get on the list we send President Trump.
Thank you,
Team Trump 2020
CONTRIBUTE $5
Contributions to the Trump Make America Great Again Committee are not deductible for federal income tax purposes.
Paid for by Trump Make America Great Again Committee, a joint fundraising committee authorized by and composed of Donald J. Trump for President, Inc. and the Republican National Committee.
You are receiving this email at [[EMAIL_REDACTED]]
Trump Make America Great Again Committee, 138 Conant Street, 2nd Floor, Beverly, MA 01915
We believe this is an important way to reach our grassroots supporters with the most up-to-date information regarding the efforts of the Trump Make America Great Again Committee and President Trump, and we’re glad you’re on our team. It’s because of grassroots supporters like you that we will Make America Great Again, and we appreciate your support. Thank you for all that you do!
Privacy Policy | Unsubscribe",d1f9b45b31135e6cf14d7cd236b11e14
7,"With only weeks until Election Day, we need to know
Alex, Trump continues to abuse his power to an extent never before seen in American history:
* He refused to divest from his business interests.
* He pardoned his friends and campaign staffers for crimes they committed in his name.
* He was impeached for abusing the power of the presidency.
* And all that was before he pressured voters to commit crimes by casting their ballot twice in the upcoming election.
These are not minor issues, they’re serious offenses that demand immediate consequences. Over a third of Americans still stand by Trump and his overreach of executive power – but with only weeks until people begin casting their ballots, we need to know you’re not one of them.
Before the 11:59 p.m. deadline, tell us immediately:
DO YOU APPROVE OF DONALD TRUMP?
NO
YES
Follow us to stay connected and get the latest updates about how Democratic AGs are fighting for your rights:
This email was sent to [[EMAIL_REDACTED]].
To unsubscribe from this email list, please click here.
Paid for by the Democratic Attorneys General Association
Not authorized by any candidate or other political committee. Contributions to DAGA are not deductible as charitable contributions for federal income tax purposes.",d587e473a9d73c04e54cd5d7768b2ba4
8,"We can elect candidates who are more than just talk.
Alex,
Today we have big news out of San Francisco: District Attorney Chesa Boudin has ended the use of cash bail in all criminal cases!
Previously, when people were arrested in a criminal case they were held in jail until their trial unless they could they could provide “cash bail”—a large amount of money—to the court. The money is later returned if the defendant appears at all their court dates, though this can be weeks or even months later.
This system unfairly targeted low income people whose families are less likely to have cash on-hand. This means that low income defendants who have not been convicted of a crime were held in jail longer than their wealthy peers and lose their job or worse.
Today’s news is an example of how quickly we can make change when we elect progressive candidates. Can you chip in $15 to help us get to Congress today?
If you’ve stored your info with ActBlue Express, we’ll process your contribution instantly:
Contribute $3
Contribute $15
Contribute $50
Contribute $100
Contribute $250
Give another amount
Ending cash bail was one of Chesa’s campaign promises, and one of the many reasons I endorsed and campaigned alongside him.
The more progressives we elect to office the more we can accomplish.
Bernie Sanders spoke out in support of Chesa Boudin’s decision today and of ending cash bail nationwide. In order to accomplish this, it’s critical that we not only elect Bernie as President but that we elect a progressive congress ready to support his agenda.
It’s all up to you. Chip in $15 today!
Donate $15Want to give now? If you've saved your payment information with ActBlue Express, your donation will go through immediately:
Express Donate: $3
Express Donate: $15
Express Donate: $100
Or, donate another amount
Thanks for being part of this movement.
In solidarity,
Shahid
Paid for by Shahid Buttar for Congress Committee, 1390 Market St., Suite 200, San Francisco, CA 94102 Donate by mail.
Fewer emails? Click to get activist alerts only.
Sent via [[URL REDACTED]] To update your email address, change your name or address, or to stop receiving emails from Shahid for Change, please click here.",8c750fbc85a9df4cf03ba2ac78059ced
9,"You are invited to our upcoming Laguna Beach Meet and Greet!
For Our Country. For Our Future.
Dear Alex Brown,
​
You are invited to our upcoming Laguna Beach Meet and Greet!
This event gives voters the opportunity to meet with Republican Brian Burley before the March 3rd Primary.
Please RSVP as space is limited for this event.
When: Wednesday, February 26th from 5:30pm-7:30pm
Where: Crader Residence
2555 Kilo
Laguna Beach, CA 92651
​
Contact us at (714)824-0032 or at [[URL REDACTED]] if you have any questions.
RSVP
DONATE
VOLUNTEER
FREE LAWN SIGN
MY CANDIDATE STATEMENT
Ronald Reagan proclaimed our country as a Beacon of Light and a Shining City on a Hill, but right now we are not reaching our potential as a country.
We need leaders with solutions. We need leaders that can relate to the struggles of everyday people. Most importantly, we need leaders that value honesty and new ideas.
I understand your struggles and I am bringing new ideas, the needed experience and a fresh perspective to the table that will help restore the American dream.
As a business owner and concerned citizen, I worry for the future of Californian families. We have high taxes, increased crime, inadequate enforcement of immigration laws and growing poverty rates.
In Orange County, rents are skyrocketing, homelessness is on the rise, and regardless of party, leaders are not acting in good faith to the great people they represent.
The last thing we need right now are more career politicians. It is time for change and I will never stop fighting on behalf of you!
I am running on a Pro-Constitution, American Family Values and Common-Sense Conservative platform. Once I am your Congressman, we will Make Orange County Great Again!
My campaign is For Our Country and For Our Future. I graciously ask for your vote in this upcoming election. I encourage you to go to my website, [[URL REDACTED]], to read my story and my platform.
Contact my campaign directly at (714)824-0032 or at [[URL REDACTED]]
Vote Republican Brian Burley for Congress on March 3rd!
MY STORY
MY PLATFORM
Paid for and Authorized by Brian Burley For Congress
Brian Burley
[[URL REDACTED]]
[[URL REDACTED]]
(714) 824-0032
Contact Us
Facebook    Twitter    Instagram
Vote Republican Brian Burley As Your Next Congressman
Brian Burley for Congress | 5267 Warner Ave. #304 , Huntington Beach, CA 92649
Unsubscribe [[EMAIL_REDACTED]]
Update Profile | About Constant Contact
Sent by [[URL REDACTED]] in collaboration with
Trusted Email from Constant Contact - Try it FREE today.
Try email marketing for free today!",9a5cebaeb648b43ef4dac5f70469377b
