,body_text,name,office_sought,party_affiliation,office_level,district_type,uid_email
0,"Jamaal's not running against Eliot Engel just because.
Jamaal Bowman for Congress
Alex,
It takes a lot to beat an entrenched incumbent. It's hard work, every single day. But Jamaal is taking on Eliot Engel because it has to be done.
For 30 years, Engel has sided with the likes of Wall Street, weapons manufacturers, and private, for-profit prisons. Time and time again, he has put these wealthy interests ahead of the people of his own district.
After seeing the real-world impact that Eliot Engel's votes have had, Jamaal decided to do something about it. He is committed to beating Engel with a grassroots, people-powered campaign that takes no money from corporate interests.
Like we said, it's hard work, every day. But it's possible because we have people like you supporting us. If you still believe in this campaign, can you chip in $15 (or whatever you can afford) to help us reach our $25,000 end-of-month goal?
Contribute $15 »
Take a look at where they each stand:
✅ Jamaal believes in progressive foreign policy, taking care of veterans, and reducing spending on foreign wars and bombs…
❌ [[URL REDACTED]] Eliot Engel voted for the Iraq war and has taken more money from the weapons manufacturers than 144 House Republicans.
✅ Jamaal supports justice reform, including the repeal of the 1994 crime bill and banning private, for-profit prisons…
❌ [[URL REDACTED]] Eliot Engel championed the 1994 crime bill and did not support HR 3227, which would have banned private prisons and detention facilities.
✅ For nearly two decades, Jamaal served as a middle school principal and as an advocate for working-class families right here in the Bronx…
❌ [[URL REDACTED]] Eliot Engel spent over three decades in Congress voting for wars, Wall Street, and prisons over education and resources for working-class families.
Jamaal is ready to fight for all of these things, as well as for other bold, progressive solutions like Medicare for All and a Green New Deal.
But taking on an entrenched incumbent is hard work, and we expect it will only get tougher until Election Day on June 23. To keep our campaign going as strong as it is, we need to reach our end-of-month goal and raise at least $25,000 by midnight on Thursday.
If everyone who reads this pitches in, we'll get there in no time. But not everyone who reads this will give. Alex, can we count on you to step up and pitch in $15 (or whatever you can) so we can meet our $25,000 end-of-month goal?
Contribute $15 »
Thanks for all you do,
Team Bowman
* * *
Like on Facebook Like on Facebook
DONATE NOW
VOLUNTEER
PAID FOR BY BOWMAN FOR CONGRESS
Bowman for Congress
81 Pondfield Rd, Suite D 351
Bronxville, NY 10708
Sent via [[URL REDACTED]] To update your email address, change your name or address, or to stop receiving emails from Jamaal Bowman for Congress, please click here.",Jamaal Bowman,U.S. House New York District 16,Democratic Party,Federal,Congress,42a37b4b8f7c9e4b1d965a9dfd12bb74
1,"This is #MyBloombergStory.
Alex,
In the early 2000s, I was a young teacher, and Bloomberg was mayor.
Stop-and-frisk was a way of life, emboldening the police and perpetuating a culture of police harassment and brutality against the Black community. One day, as I drove home from work to pick up my son, I was pulled over on the Grand Concourse in the South Bronx by the cops. They said that I failed to use my turn signal to change lanes, but I knew that was bullshit. I knew I was pulled over for DWB: Driving While Black.
I was taken out of my car, handcuffed, and arrested. I spent hours in a cell, before I was released without even seeing a judge. No charge. No explanation. No apology.
This was just one example of a terrifying, dehumanizing experience I have had with the police as a Black man in America. Some people are trying to downplay stop-and-frisk. They don’t think Bloomberg should be held responsible for championing and defending this blatant violation of constitutional rights, a policy that disproportionately impacted people of color. I ask those naysayers this:
How can the Black community improve our academic, health, or economic outcomes while we’re living in perpetual terror?
I understand the challenges facing our communities in a way the incumbent never has and never will. Perhaps that's why Engel has consistently voted for tough-on-crime policies that have decimated communities of color.
We deserve a Representative who will actively speak out against racial injustice, and won't wait to be asked. A Representative who won't just say he supports the right solutions, but will be a leader in fighting to get them passed.
I hope my story inspires more black, brown, and working-class New Yorkers to share their stories about the pain Bloomberg caused in our communities.
Bloomberg has not shown he understands the pain he caused in our community -- at all. We deserve better from our leaders; that's why I am running for Congress. My campaign is about bringing us all together, combating apathy with a movement based in love and action. I hope you will join me in that spirit.
In solidarity,
Jamaal Bowman
DONATE NOW
VOLUNTEER
PAID FOR BY BOWMAN FOR CONGRESS
Bowman for Congress
81 Pondfield Rd, Suite D 351
Bronxville, NY 10708
Sent Via [[URL REDACTED]] To update your email address, change your name or address, or to stop receiving emails from Jamaal Bowman for Congress, please click here.",Jamaal Bowman,U.S. House New York District 16,Democratic Party,Federal,Congress,985bec54a1f6709586e22b163f0bce8d
2,"Yesterday, a police officer in Kenosha, Wisconsin, repeatedly shot Jacob Blake in the back in front of his three children. There is no justification for this brutal, racist act, friends.
For Jacob Blake and every Black person terrorized by police in this country, we must act to demand immediate accountability and dismantle systemic racism. Pramila helped the House pass the George Floyd Justice in Policing Act two months ago. It’s long overdue that the Senate act. Will you join Pramila in calling on the Senate to pass the House’s Justice in Policing Act to take the urgent action needed to reimagine law enforcement?
ADD YOUR NAME
The Justice in Policing Act, which the House passed two months ago, is the most aggressive policing intervention introduced by Congress in recent memory. It would reimagine and rebuild policing by ending qualified immunity, banning chokeholds, classifying lynching as a federal hate crime, establishing a public federal police misconduct registry, and demilitarizing the police. Making this legislation law is a critical first step toward securing justice for Black and Brown communities in Wisconsin, Washington state, and across the country.
We cannot become complacent in our fight to see racial justice and stop police brutality. Add your name next to Pramila’s to demand that the Senate vote to pass the Justice in Policing Act to help bring about transformative change.
ADD YOUR NAME
Thank you for standing up for Black lives and livelihoods.
Team Jayapal
Pramila for Congress
PO Box 21912
Seattle, WA 98111
Paid for by Pramila For Congress
This message was sent to: [[EMAIL_REDACTED]]
Click here to receive fewer emails. | Click here to unsubscribe.
Change or update your email address by clicking here.",Pramila Jayapal,U.S. House Washington District 7,Democratic Party,Federal,Congress,12dbde0c08a4b1508f345fd31648aba3
3,"We're now nearly halfway to reaching our weekly goal and getting our fundraising back on track!
Hey there — I wanted to follow up my email from yesterday with a quick update.
We’re now nearly halfway to reaching our weekly goal and getting our fundraising back on track!
Every time I ask, this team comes through. It’s why I’m so confident we’ll be able to protect our House majority from Trump, McCarthy, and their special-interest friends.
Will you help push us past the finish line this week with a contribution?
If you've saved your payment information with ActBlue Express, your donation will go through immediately:
Chip in $5 immediately ➞
Chip in $10 immediately ➞
Chip in $27 immediately ➞
Or donate other amount ➞
Throughout 2019, I have been hard at work as part of the House majority. Whether it’s voting to protect LGBTQIA+ Americans from discrimination, raise the minimum wage, or hold Trump accountable for his limitless crimes, we’re fighting for the change Americans voted for and deserve.
If we can hold the majority in next year’s elections, think about how much more we can accomplish. But we need your help to make that happen.
Will you protect our majority with a contribution today?
Thank you so much!
In solidarity,
Pramila
Donate Monthly to Pramila →
Donate to Pramila →
Pramila for Congress
PO Box 21912
Seattle, WA 98111
Paid for by Pramila For Congress
This message was sent to: [[EMAIL_REDACTED]]
Click here to receive fewer emails. | Click here to unsubscribe.
Change or update your email address by clicking here.
Your support is critical to helping Pramila pass Medicare for All, fight for immigrant rights, and end Big Money's influence in our government. Pramila refuses to take even one dime from corporate PACs, so our campaign is powered by grassroots supporters like you. To take the next step and have the greatest lasting impact on our progressive platform, please consider making a sustaining monthly contribution to Pramila's campaign by clicking here.",Pramila Jayapal,U.S. House Washington District 7,Democratic Party,Federal,Congress,f5a839d142b7e3823c390924d2e705fd
4,"We have come a long way from the early days when only a handful of Democratic members of Congress were willing to call for this President’s impeachment.
Mondaire Jones for Congress
Friend,
We have come a long way from the early days when only a handful of Democratic members of Congress were willing to call for this President’s impeachment. One of the reasons I got in this race was because I was so frustrated that Democratic leadership wasn’t acting with the type of urgency required to hold this President accountable for his rampant corruption.
Now we have finally impeached this President, yet Mitch McConnell refuses to call witnesses and hold a fair trial in the Senate. In America, no one is above the law and that includes this President. We need to call on Republicans in the Senate to do the right thing and to allow a fair trial so that we can put this President’s crimes front and center for all Americans to see.
When I’m in Congress, you can always count on me to do what’s right even when it’s not politically popular or expedient. Can you make a donation today to get us across the finish line and elect someone who will always do what’s right for the residents of New York’s 17th Congressional District?
Mondaire
Donate
Facebook | Twitter | Instagram
Paid for by Mondaire for Congress
Our mailing address is:
Mondaire for Congress
P.O. Box 933, Nyack, NY 10960
Sent via [[URL REDACTED]] To update your email address, change your name or address, or to stop receiving emails from Mondaire for Congress, please click here.",Mondaire Jones,U.S. House New York District 17,Democratic Party,Federal,Congress,b977f9db7a3b5f2ffb2b48344ca1d3cb
5,"The Trump Administration is coming to an end -- either through impeachment and removal from office, or through next year’s election -- but the true test of our time will be what comes after.
Mondaire Jones for Congress
Friend, this is a defining moment for our country.
Earlier this week, House Democrats announced that they are moving forward with two articles of impeachment against President Trump. This is a monumental step toward holding Trump accountable for his crimes and showing that no one is above the law.
The Trump Administration is coming to an end -- either through impeachment and removal from office, or through next year’s election -- but the true test of our time will be what comes after.
Who will fix the mess that Trump has made of our government? How will we set a new standard in our politics and restore the meaning of a government for the people, by the people? The answer is electing progressive champions like Mondaire Jones.
He will usher in a new wave of people-first leadership and fight for the families who have been hurt most by Trump’s administration. Will you chip in $5 to support our campaign and movement to transform our politics?
Contribute $5 »
When Trump finally leaves the White House, one way or the other, we’ll need an army of strong, progressive leaders to address the damage Trump’s made and usher in a new era of change.
Together, we will write the next chapter in American politics and make sure we come out of this moment of crisis stronger and more united than ever.
That’s why Mondaire Jones is determined to bring his bold, progressive agenda to Congress and make sure that, even after Trump, our leaders act like leaders. He’s proudly supported issues like a Green New Deal, Medicare for All, and impeachment since day 1 of his campaign: there’s no doubt he’ll be just as fearless fighting for us in Congress.
But Mondaire can’t do this by himself: he needs a grassroots army at his side to make sure he can win this race and actually make it to Congress. Please chip in $5 now so Team Mondaire has the resources to spread our message and stay competitive.
Contribute $5 » Team Mondaire
Facebook | Twitter | Instagram
Paid for by Mondaire for Congress
Our mailing address is:
Mondaire for Congress
P.O. Box 933, Nyack, NY 10960
Sent via [[URL REDACTED]] To update your email address, change your name or address, or to stop receiving emails from Mondaire for Congress, please click here.",Mondaire Jones,U.S. House New York District 17,Democratic Party,Federal,Congress,b4f496fbdcdba637c78d4a65917e5794
6,"It’s been a difficult week to be black in America. I’d be lying if I said I haven’t cried often in between rallying for justice and campaigning for Congress.
Friend,
It’s been a difficult week to be black in America. I’d be lying if I said I haven’t cried often in between rallying for justice and campaigning for Congress.
Last week alone, a woman named Amy Cooper called the NYPD and lied about an “African-American man” threatening her life in Central Park. In actuality, that man had simply asked Ms. Cooper to leash her dog, which would have brought her into compliance with a well-publicized rule. In Louisville, Kentucky, protests intensified over the shooting death by police officers in March of an unarmed black woman named Breonna Taylor, whose home police officers barged into shortly after midnight in search of two men believed to be selling drugs. And on May 28th, a horrific video surfaced showing Derek Chauvin, an officer with the Minneapolis Police Department, slowly murder in broad daylight an unarmed black man, George Floyd, as other officers stood by and did nothing.
Black Americans like me are constantly retraumatized by these stories and images. We are tired of having to march, protest, and riot to get justice from governments whose job it is to deliver it. And we are tired of watching police officers brutalize and kill us with impunity.
But we know these problems run much deeper than police violence. Institutional racism is everywhere.
Institutional racism pervades our criminal legal system. Black people are arrested at disproportionately high rates, including in New York’s 17th Congressional District. Black people are more likely to be prosecuted than white people who are arrested for the same crimes. And black people are sentenced more harshly than white people convicted for the same crimes.
Institutional racism is also present throughout our economic system. The net worth of the average white household is 10 times that of the average black household. Black people are less likely to grow up in school districts with quality public schools, and more likely to graduate college with significant student debt. Black people are more likely to be uninsured or underinsured, and more likely to contract -- and die from -- preventable ailments like diabetes and asthma. Black people are more likely to experience homelessness or live in homes that endanger their health, and less likely to have access to public transit.
The protests we are seeing are not just about George Floyd. They are not even just about police killings. They are an expression of deep frustration with systems and leadership that shortchange black people, and a government that is at best indifferent to our plight.
Weeks like this redouble my commitment to change that reality.
In NY-17, I am humbled to fight alongside thousands of people of all ages, orientations, genders, colors, economic backgrounds, and creeds, to advance the cause of racial justice. As I watch my opponents scramble to add criminal justice reform -- something I have called for since the moment I entered this race -- to their platforms, or suddenly co-sponsor a policing reform bill that has been sitting before their state legislative bodies for years, I am reminded that we desperately need people in office who do not need nationwide protests to treat racial injustice with urgency. Black people shouldn’t have to take to the streets for our elected officials to lift the boot off of our throats. That’s why we need people in office for whom policy is personal.
The problems we face are human-made, and they can be solved. A better world can be ours if we fight for it. Together, we are going to bring the change this district and our country so desperately need.
In solidarity,
Mondaire
Facebook | Twitter | Instagram
Paid for by Mondaire for Congress
Our mailing address is:
Mondaire for Congress
P.O. Box 933, Nyack, NY 10960
Sent via [[URL REDACTED]] To update your email address, change your name or address, or to stop receiving emails from Mondaire for Congress, please click here.",Mondaire Jones,U.S. House New York District 17,Democratic Party,Federal,Congress,a8d603f66e534cd61e2ffbfca24176be
7,"And stop asking the military to police. My op-ed ➡
Friends and neighbors,
In my op-ed published yesterday by WBUR's Cognoscenti, I argue that after September 11th, government at all levels — federal, state, local — increasingly flipped the idea of policing on its head. State and local police were given more military and intelligence capabilities, while troops overseas were tasked with policing foreign soil.
As a former platoon commander in Afghanistan, and as the current chair of the public safety committee for the Newton City Council, I understand how these challenges are interwoven. As your next member of Congress, I'll work to tackle both.
Read my full op-ed below (and share).
Onwards,
Jake
After 9/11, Policing Underwent Radical Change. It’s Time To Course Correct
Contrary to the president’s claims, the protests of the last weeks have been overwhelmingly peaceful. Yet, we see the tools of war on our streets. Police and the National Guard patrol with the weapons and armor that I recognize from my overseas deployments in the Marines.
We must demilitarize the police. To do this, we must shift the paradigm of public safety, at home and abroad.
After September 11th, government at all levels — federal, state, local — increasingly flipped the idea of policing on its head. State and local police were given more military and intelligence capabilities, while troops overseas were tasked with policing foreign soil.
The new Department of Homeland Security became a bridge between the two. From airports to subways to street corners, our everyday experience became marked by lurking threats that required overwhelming force. We were all deputized to ""say something,"" if we ""see something.""
Conversely, our troops are deployed as police. That includes me. As an infantry platoon commander in Helmand Province, my mission was to patrol three villages subject to Taliban influence. In tandem with the Afghan police, we tried to establish rapport with tribal elders, to root out Taliban abettors and to generally underwrite security. Marines are expeditionary — we are meant to take on unfamiliar missions. But we are not police.
Our military is policing villages that are not their own, and our police are empowered to act with military force. These twin failed initiatives must stop: get the military and intelligence services out of our public square here at home, and stop using our military as a police force overseas. As monumental as ending the forever wars would be, it is the former — the demilitarization of police — that will be the harder call to action.
Each city and town can begin by looking at dispatches and details. How often are cops being asked to control traffic? Cite noise violators? Handle substance abuse? And, how often would recourse to force have been necessary to protect public safety?
As the chair of the public safety and transportation committee on the Newton City Council, I am helping to steer that review for my hometown. I expect we'll find that we're asking police to not just keep us safe from violent crime, but also to handle every other assignment that has rolled downhill from law to enforcement, without due consideration for the right agent to enforce.
In some cases, it's already obvious it's not working. For example: Newton police are being called on landscapers whose leaf blowers are too loud. By expanding the surface area of police-citizen contact into these types of non-threatening situations, we increase the likelihood of violence — especially violence predicated on racial profiling.
Race must be at the center of this review. Collecting data on policing and racism should become a national project, but we can’t let this be a statistics discussion when Black and brown voices on the subject have been clear for centuries: our fellow Americans do not trust law enforcement. As a white man, I feel safer when cops are nearby. Many of my Black and brown constituents do not, and for good reason.
Ending the 9/11 mindset, and reviewing police functions through the lens of racial justice, will be good for both citizens and police. To be sure, we need a public safety arm that can use force to protect people — nobody wants to dial 911 during a robbery and get a ringtone. But we have taken the right of government to use force and spread it across domains where force is rarely helpful.
I’m proud that we’re starting this conversation in my hometown’s City Hall, along with cities and towns throughout the United States. To complete it, though, will take action from Washington, too. Stop militarizing the police. And stop asking the military to police other peoples. From my patrol base in Helmand to my chair at the public safety committee, I know we can do better.
Click here to forward to a friend.
Contribute Contribute
Website Website
Facebook Facebook
Twitter Twitter
Instagram Instagram
Email Email
Jake Auchincloss is running for Congress in the Massachusetts Fourth.
After graduating from college, Jake joined the Marines and commanded an infantry platoon in Afghanistan and a multi-national special operations mission to Panama.
Back home, Jake has continued service as a city councilor in Newton, where he was born and educated. Jake's positive, thoughtful leadership over two terms, especially on transportation and the environment, earned him a third term this November.
In the private sector, Jake has worked on transportation for a Fortune 100 innovation lab and in cybersecurity at a startup. He holds degrees in finance and economics from MIT Sloan and Harvard College.
Paid for by Jake Auchincloss for Congress
P.O. Box 600698, Newtonville, MA 02460
Forward to a friend
Subscribe
Unsubscribe",Jake Auchincloss,U.S. House Massachusetts District 4,Democratic Party,Federal,Congress,5217531fcc20c80a397623633446d295
8,"Hey,
If you weren't paying attention to the GOP Convention speaker list, here's one you need to know: Matt Gaetz.
Tonight, on a national stage, Gaetz will sing Trump's praises -- in spite of every crisis Trump created for us, every occasion he utterly failed to rise to, and every burden he put on the backs of the American people.
There's no telling what Gaetz will say exactly, but we'd wager it'll be divisive, tone-deaf, ignorant, self-promotional, and so boastful you'll want to throw your television straight into the garbage.
What Gaetz should be doing, instead of soaking up the limelight, is working with partners in the Senate to deliver relief for communities suffering from the coronavirus. He should be holding Trump accountable for his crimes. He should be apologizing for failing to serve our district with the honor and integrity we deserve.
Let's make this the first and last time we see Gaetz speaking as a congressman at the GOP Convention. Chip in $5 or more now to return honor and integrity to Florida's 1st by electing Phil Ehr to Congress.
If you’ve saved your payment information with ActBlue Express, your donation will go through immediately.
Express Donate $5
Express Donate $20.20
Express Donate $50
Express Donate $100
Express Donate $250
Donate Other Amount
Thanks,
Team Ehr
Phil Ehr is a retired U.S. Navy commander and the Democratic nominee challenging Matt Gaetz for Florida’s 1st Congressional District. Phil is a husband, father, community volunteer, and veteran who rose from Seaman to Commander in a 26-year active duty career. Phil flew reconnaissance missions in the Cold War, Desert Storm, and the Balkans. He provided strategic advice to senior leaders in Washington, London, and NATO in the post Cold War and post 9/11 eras. Phil is fighting to restore honor and integrity to Northwest Florida’s representation. With your help, we will prevent, prepare for, and respond to the next national crisis. We will build an economy that’s fair for working people, families, and small business, cradle to grave. We will correct failing policies on health care, education, the environment, and public safety. We will advance freedom, equality, liberty, and justice for all. We will fight corruption and incompetence to restore trust in American leadership. Join the “Ehr Force” today!
DONATE
P. O. Box 9818, Pensacola, FL 32513 | All content © 2019 Ehr for Congress, All Rights Reserved.
Contributions or gifts to Ehr for Congress are not tax deductible.
If you want the most up-to-date information, follow Phil Ehr on Twitter, Facebook and Instagram.
We try to send only the most important information and opportunities to participate via email.
You can unsubscribe from this list.
We try to send only the most important information and opportunities to participate via email.
You can unsubscribe from this list.",Phil Ehr,U.S. House Florida District 1,Democratic Party,Federal,Congress,f6ee61c7c4731a4942db5044fbb29706
9,"NEW POLL: 43% vs. 44%
Hey,
This poll is exactly what we were hoping for.
Floridians have been watching Gaetz spend his time in office sucking up to Donald Trump, providing cover for his crimes and lies, and promoting himself on cable news.
But voters realize that it's not Matt's time he's wasting -- it's our time. Time that could be spent protecting our coastline from pollution, time that could be spent fixing our broken health care system, time that could be spent empowering working families.
We know because only 43% of poll respondents said they'd vote to re-elect Gaetz. And 44% said they're considering voting for someone else or will confidently vote to replace him.
Floridians are done letting Gaetz waste any more of our precious time. This November, we'll elect Phil Ehr to Congress where he'll fight for working families and uphold our shared values.
We can defeat Matt Gaetz and return honor and integrity to Congress -- but we can't do it without your help. Chip in $5 or more now and tell Matt Gaetz his time is up!
If you’ve saved your payment information with ActBlue Express, your donation will go through immediately.
Express Donate $5
Express Donate $20.20
Express Donate $50
Express Donate $100
Express Donate $250
Donate Other Amount
Thank you,
Keith
Campaign Manager
Ehr for Congress
Phil Ehr is a retired U.S. Navy commander and the Democratic nominee challenging Matt Gaetz for Florida’s 1st Congressional District. Phil is a husband, father, community volunteer, and veteran who rose from Seaman to Commander in a 26-year active duty career. Phil flew reconnaissance missions in the Cold War, Desert Storm, and the Balkans. He provided strategic advice to senior leaders in Washington, London, and NATO in the post Cold War and post 9/11 eras. Phil is fighting to restore honor and integrity to Northwest Florida’s representation. With your help, we will prevent, prepare for, and respond to the next national crisis. We will build an economy that’s fair for working people, families, and small business, cradle to grave. We will correct failing policies on health care, education, the environment, and public safety. We will advance freedom, equality, liberty, and justice for all. We will fight corruption and incompetence to restore trust in American leadership. Join the “Ehr Force” today!
DONATE
P. O. Box 9818, Pensacola, FL 32513 | All content © 2019 Ehr for Congress, All Rights Reserved.
Contributions or gifts to Ehr for Congress are not tax deductible.
If you want the most up-to-date information, follow Phil Ehr on Twitter, Facebook and Instagram.
We try to send only the most important information and opportunities to participate via email.
You can unsubscribe from this list.
We try to send only the most important information and opportunities to participate via email.
You can unsubscribe from this list.",Phil Ehr,U.S. House Florida District 1,Democratic Party,Federal,Congress,28e5c1a709dff3794922bb8520aa8c0d
