,w,corpus_count
0,hear,27544
1,soon,6815
2,asked,5014
3,Democrats,61219
4,stand,45426
5,the issues,4045
6,Donald Trump,41700
7,racism,1858
8,making,23792
9,cast,10232
10,tell,13552
11,fighting,30085
12,reduce,1242
13,health care,19421
14,allowing,974
15,like,121784
16,Medicare,9211
17,President,42654
18,use,99532
19,end,134337
20,conviction,339
21,convicted,226
22,work,92558
23,Congress,84971
24,destroy,5973
25,the value,1262
26,stopped,1331
27,begin,12196
28,believe,59473
29,turn,39392
30,America,60439
31,time,77493
32,bring,19458
33,home,16052
34,engage,5022
35,block,3954
36,our movement,15089
37,failed,4548
38,candidates,12902
39,voting,17397
40,Americans,22899
41,desperate,5194
42,a leader,3605
43,hope,21750
44,consider,11036
45,joining,6332
46,our campaign,58661
47,afford,29691
48,clicking,22584
49,Thank,111404
50,Donate,48804
51,Paid,124326
52,South Carolina,6736
53,United States,46506
54,seeking,699
55,simply,7401
56,beat,15893
57,know,83684
58,decided,7637
59,run,63029
60,the United States,9764
61,need,118417
62,the American people,5267
63,forced,2742
64,choose,3833
65,chose,2828
66,vote,70665
67,the world,7337
68,provide,10274
69,this election,15616
70,members,8546
71,access,12307
72,wish,30331
73,elected,17667
74,Order,485
75,enter,9302
76,non,9482
77,allow,9559
78,our economy,3059
79,healthcare,11099
80,an end,2660
81,send,43781
82,legislation,7399
83,enact,1266
84,built,3631
85,today,65196
86,left,20909
87,raise,38757
88,counting,17622
89,your help,46829
90,spread,10647
91,liberty,1387
92,defeat,41451
93,change,47224
94,our country,20524
95,click,99627
96,donate,58678
97,makes,7981
98,your donation,40274
99,best,40264
100,thank,43124
101,the day,3924
102,receive,125334
103,day,108848
104,takes,17518
105,act,69787
106,meet,13600
107,answer,8261
108,action,15008
109,the campaign trail,2286
110,Yes,5574
111,seen,9080
112,the campaign,18834
113,got,27322
114,started,6352
115,worry,3755
116,better,14441
117,running,47880
118,No one,1409
119,exactly,6138
120,thrilled,1055
121,Joe Biden,24403
122,advocate,5842
123,tough,8688
124,crime,1388
125,President Trump,17920
126,millions,17338
127,Republicans,34356
128,identify,1512
129,the support,5168
130,history,22020
131,November 3rd,5259
132,Let,19457
133,reach,39630
134,our message,4679
135,free markets,70
136,bringing,2649
137,ending,34720
138,drugs,3043
139,chipping,9666
140,any amount,6213
141,the button,8615
142,a donation,26364
143,sure,60161
144,let,48386
145,saw,5411
146,Trump,76658
147,Biden,27077
148,prepare,4225
149,happen,16072
150,help,123524
151,pay,49135
152,a contribution,32311
153,watch,9175
154,saying,3423
155,read,53688
156,people,53582
157,actually,3221
158,the Constitution,7579
159,including,10291
160,restore,3621
161,COVID-19,14026
162,businesses,5417
163,decide,11385
164,open,10840
165,based,3276
166,free,9816
167,the economy,1161
168,resources,18907
169,the government,797
170,cut,14751
171,taxes,2272
172,destroyed,943
173,launched,5928
174,passed,4074
175,police,4788
176,policing,458
177,held,8465
178,responsible,1604
179,their actions,207
180,The Democrats,1177
181,laws,5875
182,things,10342
183,voters,39707
184,prefer,23381
185,respect,3503
186,start,25019
187,try,69328
188,prevent,4384
189,favor,5917
190,remove,4083
191,think,13461
192,starts,3763
193,This week,2206
194,the opportunity,2710
195,Kamala Harris,9103
196,serve,29145
197,the Trump administration,1690
198,defend,13694
199,spending,12874
200,increasing,5442
201,called,5715
202,conservative,12468
203,learned,2276
204,avoid,1326
205,Harris,15627
206,men,119948
207,women,8173
208,fact,9328
209,the people,15050
210,hurt,1972
211,save,50311
212,near,7469
213,donating,13245
214,want,75252
215,share,13646
216,raised,11923
217,place,18722
218,the Democrats,4561
219,destroying,1282
220,lost,5185
221,MILLIONS,6039
222,jobs,7986
223,taken,5154
224,politicians,4093
225,willing,4116
226,create,6789
227,solutions,5010
228,trust,5230
229,the White House,8695
230,achieve,2131
231,victory,12995
232,speak,6362
233,seek,1660
234,stop,37227
235,Change,19707
236,reached,2642
237,opportunity,13463
238,possible,16923
239,Turn,8410
240,Twitter,32234
241,thought,10699
242,later,2034
243,determined,2370
244,committed,12741
245,the president,3117
246,attacked,1407
247,starting,2884
248,away,24928
249,Elizabeth Warren,3004
250,life,26091
251,the streets,842
252,push,17064
253,racial justice,784
254,leadership,14081
255,the country,25363
256,systemic racism,744
257,Instead,3262
258,helps,4553
259,social media,3839
260,a nation,3289
261,deserve,9634
262,Tell,1916
263,condemn,1094
264,YES,8709
265,The WDTO Team,1445
266,THE SURVEY,2254
267,PAC PO Box,0
268,"Washington, DC 20003",7886
269,According,1078
270,Barack Obama,4874
271,guilty,267
272,the history,608
273,knows,12410
274,Obama,13715
275,unlike,1366
276,born,1866
277,the power,4088
278,plan,22948
279,Lindsey Graham,6758
280,testify,226
281,said,11336
282,his position,332
283,president,13655
284,your response,7355
285,Portland,507
286,sending,5847
287,Chicago,6099
288,claims,1719
289,the city,447
290,needs,21507
291,combat,7552
292,support,130931
293,tried,1977
294,supporting,44573
295,standing,10318
296,communities,14694
297,color,3452
298,taking,21671
299,Join,9743
300,force,9099
301,win,96720
302,your input,3709
303,matter,23222
304,wants,7619
305,Barr,3177
306,long,50947
307,the criminal justice system,84
308,American history,703
309,fired,3050
310,law,18428
311,order,15715
312,Washington DC,2975
313,officers,1172
314,threatening,1112
315,Click,65148
316,calling,8665
317,worked,5773
318,Georgia,5224
319,says,4503
320,received,31795
321,ICE,6665
322,families,21689
323,the border,431
324,leaving,1408
325,demanding,2203
326,hate,30224
327,crimes,581
328,targeting,1346
329,immigrants,1394
330,Despite,1584
331,abuse,1424
332,come,50366
333,completely,5327
334,the values,897
335,this country,7059
336,founded,1327
