,w,corpus_w_count,p(w),"p(t,w)"
0,hear,27544,0.16181507352293223,269
1,soon,6815,0.04003665865737668,54
2,asked,5014,0.02945617116773098,56
3,Democrats,61219,0.3596484528754134,581
4,stand,45426,0.2668679759603805,621
5,the issues,4045,0.023763504661641767,24
6,Donald Trump,41700,0.2449785276614244,442
7,racism,1858,0.010915350225297998,90
8,making,23792,0.13977288081824002,231
9,cast,10232,0.06011079844200706,38
10,tell,13552,0.07961508409754493,151
11,fighting,30085,0.1767429017912219,397
12,reduce,1242,0.007296482766318684,53
13,health care,19421,0.11409419630006051,86
14,allowing,974,0.0057220404302692415,41
15,like,121784,0.7154547964680793,1028
16,Medicare,9211,0.05411264312444557,100
17,President,42654,0.2505830723949735,602
18,use,99532,0.5847290842972876,1086
19,end,134337,0.7892009705144549,1153
20,conviction,339,0.001991552059405824,56
21,convicted,226,0.0013277013729372162,45
22,work,92558,0.5437583348509861,768
23,Congress,84971,0.49918634230021325,924
24,destroy,5973,0.03509008982546014,150
25,the value,1262,0.007413978463038791,64
26,stopped,1331,0.007819338616723162,32
27,begin,12196,0.07164887585992163,96
28,believe,59473,0.34939107855174806,495
29,turn,39392,0.231419524259924,373
30,America,60439,0.3550661207033292,824
31,time,77493,0.45525470129656503,712
32,bring,19458,0.11431156333899271,244
33,home,16052,0.09430204618755839,245
34,engage,5022,0.029503169446419026,63
35,block,3954,0.02322889924156528,79
36,our movement,15089,0.0886446283904852,84
37,failed,4548,0.026718521434152473,149
38,candidates,12902,0.07579647395414144,155
39,voting,17397,0.10220363179198562,144
40,Americans,22899,0.13452669795968722,373
41,desperate,5194,0.03051363243821195,45
42,a leader,3605,0.0211785993337994,30
43,hope,21750,0.12777657018311706,181
44,consider,11036,0.06483412545015539,82
45,joining,6332,0.03719913758158607,95
46,our campaign,58661,0.34462075326491165,398
47,afford,29691,0.17442823656583578,232
48,clicking,22584,0.13267614073634554,251
49,Thank,111404,0.6544745298703435,831
50,Donate,48804,0.28671299913640663,364
51,Paid,124326,0.730388499521205,850
52,South Carolina,6736,0.03957255065533225,30
53,United States,46506,0.27321274358326625,456
54,seeking,699,0.004106474600367761,16
55,simply,7401,0.043479282571275826,62
56,beat,15893,0.09336795539863353,160
57,know,83684,0.49162549421627433,677
58,decided,7637,0.044865731792573096,64
59,run,63029,0.3702818134285832,633
60,the United States,9764,0.05736139913875654,231
61,need,118417,0.6956743959252493,986
62,the American people,5267,0.03094249173124034,129
63,forced,2742,0.016108660020326755,41
64,choose,3833,0.022518050276408626,40
65,chose,2828,0.01661389151622322,34
66,vote,70665,0.4151416704363203,605
67,the world,7337,0.043103296341771485,158
68,provide,10274,0.06035753940511929,128
69,this election,15616,0.09174063999906003,97
70,members,8546,0.050205911208501985,125
71,access,12307,0.07230097697671822,86
72,wish,30331,0.17818809886087922,128
73,elected,17667,0.10378982369770708,257
74,Order,485,0.00284927064546261,29
75,enter,9302,0.054647248544522055,99
76,non,9482,0.05570470981500303,197
77,allow,9559,0.05615706824737544,178
78,our economy,3059,0.017970966813340462,36
79,healthcare,11099,0.06520423689482373,108
80,an end,2660,0.015626927663774316,62
81,send,43781,0.2572039549051516,348
82,legislation,7399,0.04346753300160382,110
83,enact,1266,0.0074374776023828125,36
84,built,3631,0.02133134373953554,24
85,today,65196,0.38301247216820683,650
